,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti9_centroid_x,ti9_centroid_y,ti15_centroid_x,ti15_centroid_y,ti16_centroid_x,ti16_centroid_y,ti17_centroid_x,ti17_centroid_y,ti101_centroid_x,ti101_centroid_y,ti104_centroid_x,ti104_centroid_y,ti164_centroid_x,ti164_centroid_y,ti172_centroid_x,ti172_centroid_y,ti180_centroid_x,ti180_centroid_y,ti195_centroid_x,ti195_centroid_y,ti198_centroid_x,ti198_centroid_y,ti216_centroid_x,ti216_centroid_y,ti224_centroid_x,ti224_centroid_y,ti232_centroid_x,ti232_centroid_y,ti242_centroid_x,ti242_centroid_y,ti256_centroid_x,ti256_centroid_y,ti269_centroid_x,ti269_centroid_y,ti288_centroid_x,ti288_centroid_y,ti307_centroid_x,ti307_centroid_y,ti316_centroid_x,ti316_centroid_y,ti333_centroid_x,ti333_centroid_y,ti347_centroid_x,ti347_centroid_y,ti371_centroid_x,ti371_centroid_y,ti372_centroid_x,ti372_centroid_y,ti386_centroid_x,ti386_centroid_y,ti381_centroid_x,ti381_centroid_y,ti401_centroid_x,ti401_centroid_y,ti403_centroid_x,ti403_centroid_y,ti415_centroid_x,ti415_centroid_y,ti444_centroid_x,ti444_centroid_y,ti447_centroid_x,ti447_centroid_y,ti459_centroid_x,ti459_centroid_y,ti465_centroid_x,ti465_centroid_y,ti492_centroid_x,ti492_centroid_y,ti493_centroid_x,ti493_centroid_y,ti516_centroid_x,ti516_centroid_y,ti536_centroid_x,ti536_centroid_y,ti547_centroid_x,ti547_centroid_y,ti621_centroid_x,ti621_centroid_y,ti655_centroid_x,ti655_centroid_y,ti681_centroid_x,ti681_centroid_y,ti695_centroid_x,ti695_centroid_y,ti753_centroid_x,ti753_centroid_y,ti775_centroid_x,ti775_centroid_y,ti790_centroid_x,ti790_centroid_y,ti844_centroid_x,ti844_centroid_y,ti880_centroid_x,ti880_centroid_y,ti885_centroid_x,ti885_centroid_y,ti890_centroid_x,ti890_centroid_y,ti903_centroid_x,ti903_centroid_y,ti920_centroid_x,ti920_centroid_y,ti907_centroid_x,ti907_centroid_y,ti1013_centroid_x,ti1013_centroid_y,ti1046_centroid_x,ti1046_centroid_y,ti1130_centroid_x,ti1130_centroid_y,ti1193_centroid_x,ti1193_centroid_y,ti1367_centroid_x,ti1367_centroid_y,ti1409_centroid_x,ti1409_centroid_y
0,-890.35205078125,1432.6246337890625,-901.1102905273438,1442.9171142578125,-880.9307861328125,1423.242431640625,-865.420166015625,1443.1533203125,-875.480712890625,1429.7957763671875,-861.449462890625,1477.706787109375,-936.5532836914062,1412.483154296875,-907.5621337890624,1409.4013671875,-972.0720825195312,1402.19091796875,-875.732177734375,1417.8680419921875,-880.7398071289062,1411.6531982421875,-866.5868530273438,1428.0447998046875,-856.812744140625,1422.4239501953125,-931.9342651367188,1406.5369873046875,-856.3616333007812,1444.858154296875,-875.7814331054688,1451.27001953125,-870.12158203125,1425.426513671875,-974.684814453125,1467.757080078125,-841.8759155273438,1431.8040771484375,-866.3569946289062,1443.86669921875,-875.7547607421875,1451.079345703125,-844.2560424804688,1450.8087158203125,-814.2865600585938,1426.7318115234375,-925.2972412109376,1490.2518310546875,-856.8995361328125,1444.9454345703125,-867.2599487304688,1428.092529296875,-869.55859375,1424.912841796875,-890.4255981445312,1432.7967529296875,-874.8881225585938,1429.1063232421875,-856.1007690429688,1421.7518310546875,-861.976806640625,1477.2764892578125,-841.6663208007812,1432.108154296875,-827.2286987304688,1421.577392578125,-835.2750244140625,1472.3160400390625,-918.7662353515624,1499.569091796875,-850.83447265625,1468.9813232421875,-867.1198120117188,1428.2786865234375,-851.0472412109375,1468.2864990234375,-883.9912109375,1555.432373046875,-834.6985473632812,1472.24853515625,-868.7215576171875,1425.0772705078125,-841.5650024414062,1431.36376953125,-827.2268676757812,1421.328369140625,-850.1212158203125,1469.708984375,-880.2894897460938,1552.5867919921875,-860.925048828125,1539.0732421875,-924.99462890625,1533.055908203125,-875.987548828125,1451.138916015625,-866.9749145507812,1428.0799560546875,-863.6129150390625,1540.651123046875,-861.6205444335938,1476.65185546875,-958.4500732421876,1519.53564453125,-835.548095703125,1471.0013427734375,-961.633544921875,1514.7398681640625,-965.3284912109376,1510.44140625,-945.4384155273438,1537.6744384765625,-880.6123657226562,1533.1934814453125,-962.1819458007812,1515.1141357421875,-966.0946655273438,1511.771728515625,-1022.1673583984376,1573.9317626953125,-972.2174072265624,1501.69091796875,-966.1504516601562,1466.956787109375,-976.2869873046876,1513.3472900390625
1,-890.156982421875,1432.6265869140625,-900.3547973632812,1443.801025390625,-881.5020141601562,1423.6226806640625,-865.6945190429688,1443.0614013671875,-875.4924926757812,1429.8875732421875,-861.648681640625,1477.6641845703125,-936.4274291992188,1412.4437255859375,-907.5567626953124,1409.3896484375,-971.833251953125,1402.119873046875,-875.7319946289062,1417.8671875,-880.740234375,1411.65283203125,-865.5906982421875,1428.157958984375,-856.8192749023438,1422.434326171875,-932.0093994140624,1406.6650390625,-856.35009765625,1444.8544921875,-875.780029296875,1451.2706298828125,-868.5093383789062,1425.212646484375,-975.3124389648438,1467.0101318359375,-841.8799438476562,1431.79931640625,-866.2595825195312,1444.27587890625,-875.7802124023438,1451.0582275390625,-844.23193359375,1450.822998046875,-814.2529907226562,1426.820556640625,-925.5118408203124,1489.580322265625,-856.892333984375,1444.9407958984375,-867.2469482421875,1428.0908203125,-869.5491943359375,1424.9085693359375,-890.4205932617188,1432.7987060546875,-875.3162841796875,1429.7381591796875,-856.2437133789062,1421.7484130859375,-861.9755859375,1477.0096435546875,-841.6731567382812,1432.1177978515625,-827.2278442382812,1421.5751953125,-835.2838745117188,1472.3240966796875,-918.7745971679688,1499.5701904296875,-850.8314208984375,1468.98095703125,-866.9166259765625,1428.2847900390625,-851.0350341796875,1468.2861328125,-883.4574584960938,1554.7095947265625,-834.6948852539062,1472.2432861328125,-868.7267456054688,1425.070068359375,-841.5585327148438,1431.366943359375,-827.2227783203125,1421.3289794921875,-850.4163818359375,1469.23779296875,-878.7169189453125,1550.99560546875,-860.9507446289062,1538.159912109375,-924.5938110351562,1533.5662841796875,-875.9850463867188,1451.1448974609375,-866.8145751953125,1428.4442138671875,-862.9285888671875,1540.313720703125,-861.6176147460938,1476.6531982421875,-958.45361328125,1519.5391845703125,-835.5504760742188,1471.00439453125,-961.6421508789062,1514.73828125,-965.3316040039062,1510.43408203125,-945.3584594726562,1537.4208984375,-880.2952270507812,1532.8519287109375,-962.4205322265624,1515.2669677734375,-966.0995483398438,1511.7435302734375,-1022.160400390625,1573.931396484375,-971.8472290039062,1501.846435546875,-967.59326171875,1469.1627197265625,-975.531005859375,1512.9356689453125
2,-890.1480712890625,1432.6173095703125,-899.955078125,1444.3482666015625,-881.2732543945312,1423.5101318359375,-865.704345703125,1443.09326171875,-875.4837036132812,1429.8778076171875,-861.8247680664062,1477.6151123046875,-936.6641235351562,1412.677734375,-907.5487060546876,1409.3809814453125,-971.8810424804688,1401.28369140625,-875.7303466796875,1417.8624267578125,-880.7388305664062,1411.648193359375,-865.5971069335938,1428.16845703125,-856.9144897460938,1422.3018798828125,-932.0626220703124,1406.7279052734375,-856.3514404296875,1444.846923828125,-875.7916870117188,1451.2667236328125,-868.5204467773438,1425.2030029296875,-975.5946044921876,1466.381591796875,-841.7312622070312,1431.779541015625,-866.2972412109375,1444.22119140625,-875.7739868164062,1451.0526123046875,-844.2914428710938,1450.8272705078125,-814.2623901367188,1426.828369140625,-926.2811279296876,1488.58251953125,-856.8978881835938,1444.9422607421875,-867.2364501953125,1428.09423828125,-869.5444946289062,1424.9144287109375,-888.3706665039062,1432.0103759765625,-875.3276977539062,1429.7484130859375,-856.3043823242188,1421.7242431640625,-861.9841918945312,1477.0169677734375,-841.6716918945312,1432.116455078125,-827.2224731445312,1421.5751953125,-835.295654296875,1472.333984375,-918.4293212890624,1498.640869140625,-850.5023193359375,1468.432373046875,-866.9073486328125,1428.28564453125,-851.0223999023438,1468.28369140625,-882.6743774414062,1554.111328125,-834.6890258789062,1472.2357177734375,-868.6570434570312,1424.8712158203125,-841.5534057617188,1431.3690185546875,-827.221923828125,1421.3280029296875,-850.3840942382812,1469.1142578125,-878.0148315429688,1549.9112548828125,-860.0230712890625,1537.741943359375,-924.6784057617188,1533.102294921875,-875.6162109375,1451.4361572265625,-866.8125610351562,1428.450927734375,-861.3831176757812,1539.3009033203125,-861.6188354492188,1476.65283203125,-958.454833984375,1519.5341796875,-835.558837890625,1471.003662109375,-961.6492919921876,1514.741455078125,-965.3312377929688,1510.4324951171875,-944.1201782226562,1536.3521728515625,-880.4493408203125,1533.064453125,-962.4511108398438,1515.3861083984375,-966.1082763671876,1511.7410888671875,-1022.1607666015624,1573.9139404296875,-971.8365478515624,1501.858642578125,-968.3146362304688,1469.9901123046875,-975.50732421875,1512.8897705078125
3,-890.2429809570312,1432.7283935546875,-899.5524291992188,1445.0194091796875,-881.2177734375,1423.423095703125,-865.7396240234375,1443.01708984375,-875.617431640625,1429.7906494140625,-861.9635620117188,1477.5289306640625,-936.5831298828124,1412.5455322265625,-907.5493774414062,1409.3831787109375,-972.0581665039062,1401.0528564453125,-875.716064453125,1417.876220703125,-880.7252807617188,1411.66259765625,-865.58642578125,1428.176025390625,-856.9105834960938,1422.2266845703125,-932.2455444335938,1406.57177734375,-856.0626831054688,1444.77685546875,-874.7752075195312,1451.6278076171875,-868.5247802734375,1425.1990966796875,-976.062255859375,1465.866943359375,-841.6266479492188,1431.894775390625,-866.3111572265625,1444.254638671875,-875.7716064453125,1451.0489501953125,-844.33447265625,1450.751708984375,-814.276611328125,1426.833984375,-926.593505859375,1488.1326904296875,-855.9071655273438,1444.823974609375,-867.2269897460938,1428.0899658203125,-869.5343017578125,1424.9100341796875,-888.3667602539062,1432.0147705078125,-875.3238525390625,1429.7528076171875,-856.407958984375,1421.83642578125,-861.8156127929688,1476.8114013671875,-841.6663208007812,1432.116455078125,-827.56298828125,1421.6790771484375,-835.285400390625,1472.329345703125,-918.99267578125,1498.40771484375,-850.6447143554688,1468.5146484375,-866.897216796875,1428.2841796875,-851.0368041992188,1468.2872314453125,-882.1931762695312,1553.531494140625,-834.6644897460938,1472.0855712890625,-868.6141357421875,1424.85498046875,-841.8150634765625,1431.3551025390625,-827.4180297851562,1421.3341064453125,-850.3727416992188,1468.9644775390625,-877.3120727539062,1548.8343505859375,-859.494873046875,1537.4599609375,-924.804931640625,1533.352294921875,-875.6116943359375,1451.4404296875,-866.8213500976562,1428.48876953125,-860.7848510742188,1538.9278564453125,-861.6173706054688,1476.6552734375,-958.4578247070312,1519.53564453125,-835.5657348632812,1471.00732421875,-961.4874267578124,1514.569091796875,-965.3233032226562,1510.4373779296875,-943.4218139648438,1535.808837890625,-880.450927734375,1533.076416015625,-962.5357055664062,1515.33447265625,-966.17236328125,1511.291259765625,-1022.1632690429688,1573.92333984375,-971.8456420898438,1501.867431640625,-968.47216796875,1469.9921875,-975.3739624023438,1512.840087890625
4,-890.2069091796875,1432.7093505859375,-899.17236328125,1445.5772705078125,-881.3151245117188,1423.490234375,-865.6610107421875,1442.91162109375,-876.3092651367188,1430.27490234375,-862.0477294921875,1477.567138671875,-936.414794921875,1412.331787109375,-907.5480346679688,1409.379638671875,-972.2091674804688,1401.1507568359375,-875.704833984375,1417.8763427734375,-880.7144165039062,1411.6630859375,-865.5870971679688,1428.1802978515625,-856.924072265625,1422.2054443359375,-932.0850830078124,1406.5042724609375,-855.8736572265625,1444.459228515625,-874.7860107421875,1451.6182861328125,-868.52978515625,1425.181884765625,-976.4707641601562,1465.435302734375,-841.6470336914062,1431.8427734375,-866.3052978515625,1444.2484130859375,-875.7791748046875,1451.046630859375,-844.3372802734375,1450.80224609375,-814.2144165039062,1426.525634765625,-927.0493774414062,1487.5269775390625,-856.3820190429688,1444.8585205078125,-867.222412109375,1428.095947265625,-869.5360107421875,1424.9005126953125,-888.32958984375,1431.967529296875,-875.33447265625,1429.7607421875,-856.6212158203125,1421.9844970703125,-861.90283203125,1476.5428466796875,-841.6700439453125,1432.1236572265625,-827.6371459960938,1421.728759765625,-835.281982421875,1472.3253173828125,-919.4845581054688,1497.7562255859375,-850.4613647460938,1469.0303955078125,-866.9127197265625,1428.2880859375,-851.0409545898438,1468.288818359375,-881.6326293945312,1552.9857177734375,-834.7188720703125,1472.085693359375,-868.5413818359375,1424.8565673828125,-841.8375854492188,1431.3076171875,-827.488037109375,1421.29931640625,-850.4503784179688,1468.7408447265625,-877.022216796875,1549.083251953125,-858.9639282226562,1537.1748046875,-924.7769775390624,1533.2115478515625,-875.5675048828125,1451.3526611328125,-866.7764282226562,1428.5621337890625,-860.3527221679688,1538.6995849609375,-861.618896484375,1476.6529541015625,-958.5747680664062,1519.599853515625,-835.528564453125,1471.593017578125,-961.3988037109376,1514.5908203125,-965.1815185546876,1510.28955078125,-943.2476196289062,1535.6446533203125,-880.4242553710938,1533.0970458984375,-962.5758056640624,1515.3026123046875,-966.1761474609376,1511.2877197265625,-1022.17041015625,1573.921142578125,-971.9093627929688,1501.7662353515625,-968.5579833984376,1470.2537841796875,-975.4577026367188,1512.8182373046875
5,-890.05029296875,1432.644775390625,-898.7457275390625,1446.1676025390625,-881.6258544921875,1423.7540283203125,-865.666259765625,1442.949462890625,-876.2940063476562,1430.320556640625,-861.787841796875,1477.4425048828125,-936.5032958984376,1412.4368896484375,-907.5347290039062,1409.397216796875,-972.3650512695312,1400.866455078125,-875.7554321289062,1417.8482666015625,-880.7769165039062,1411.6446533203125,-865.5869750976562,1428.1802978515625,-856.923828125,1422.1976318359375,-932.078857421875,1406.4912109375,-855.7155151367188,1444.2652587890625,-874.7894287109375,1451.6146240234375,-868.52783203125,1425.1768798828125,-976.9535522460938,1464.9898681640625,-841.6600341796875,1431.800048828125,-866.2984008789062,1443.857666015625,-875.7852172851562,1451.0535888671875,-844.3981323242188,1450.814697265625,-814.2439575195312,1426.5009765625,-927.3634643554688,1487.1883544921875,-856.3703002929688,1444.8612060546875,-867.212158203125,1428.0914306640625,-869.5311279296875,1424.9019775390625,-888.346923828125,1431.941162109375,-875.5953369140625,1429.880126953125,-856.6956176757812,1422.033935546875,-861.73583984375,1476.50390625,-841.677978515625,1432.1329345703125,-827.6962890625,1421.7630615234375,-835.2919921875,1472.3214111328125,-919.759765625,1496.8533935546875,-850.4022216796875,1469.1790771484375,-866.9427490234375,1428.26904296875,-850.4916381835938,1468.185546875,-880.9163818359375,1552.1881103515625,-834.673095703125,1471.8956298828125,-868.7020263671875,1424.7230224609375,-841.854248046875,1431.253173828125,-827.3331298828125,1421.686767578125,-850.6077270507812,1468.709228515625,-876.317138671875,1548.3829345703125,-858.432373046875,1536.888916015625,-924.8915405273438,1533.0692138671875,-875.3436279296875,1451.4251708984375,-866.9044799804688,1428.4593505859375,-859.8328857421875,1538.476318359375,-861.6634521484375,1476.7423095703125,-958.5340576171876,1519.4521484375,-835.5523681640625,1471.5042724609375,-961.8550415039062,1514.7059326171875,-965.2518310546876,1510.2769775390625,-942.6597900390624,1535.2100830078125,-880.5115356445312,1533.194091796875,-962.5812377929688,1515.2750244140625,-966.0401000976562,1510.9132080078125,-1022.1754760742188,1573.92822265625,-972.0148315429688,1501.7271728515625,-968.5742797851562,1470.3851318359375,-975.5599975585938,1512.9168701171875
6,-889.8775024414062,1432.5184326171875,-898.3696899414062,1446.72216796875,-881.8681030273438,1423.9156494140625,-865.6110229492188,1442.8922119140625,-876.0107421875,1430.45361328125,-861.6904296875,1477.234619140625,-936.4331665039062,1412.401123046875,-907.5240478515624,1409.3992919921875,-972.5006103515624,1400.5313720703125,-875.7784423828125,1417.8306884765625,-880.8065185546875,1411.63232421875,-865.7184448242188,1428.0662841796875,-856.9943237304688,1422.217041015625,-932.0328369140624,1406.529052734375,-856.1470336914062,1444.3843994140625,-874.7930297851562,1451.59765625,-868.7772827148438,1425.3565673828125,-977.3389282226562,1464.238525390625,-841.7053833007812,1431.961669921875,-866.2759399414062,1443.770263671875,-875.7774047851562,1451.053955078125,-844.3756103515625,1450.739501953125,-814.1878051757812,1426.6796875,-927.6083984375,1486.8824462890625,-855.934326171875,1444.5531005859375,-867.2137451171875,1428.0819091796875,-869.54296875,1424.911865234375,-888.3525390625,1431.918701171875,-875.4880981445312,1429.908447265625,-856.8408203125,1422.011474609375,-861.8404541015625,1476.541015625,-841.6111450195312,1432.135986328125,-827.6497802734375,1421.53369140625,-835.2940063476562,1472.3258056640625,-919.8224487304688,1496.8826904296875,-850.291015625,1469.4322509765625,-866.9261474609375,1428.39794921875,-850.5753784179688,1468.478515625,-880.22412109375,1551.442138671875,-834.6953735351562,1471.719970703125,-868.6621704101562,1424.6776123046875,-841.603271484375,1431.728759765625,-827.38720703125,1421.7457275390625,-850.6617431640625,1468.6287841796875,-875.601318359375,1547.682373046875,-857.9140014648438,1536.603515625,-925.0177612304688,1532.91845703125,-875.320556640625,1451.4573974609375,-866.9151611328125,1428.45947265625,-858.9256591796875,1537.9931640625,-861.6195068359375,1476.7808837890625,-958.517822265625,1519.501708984375,-835.525634765625,1471.6702880859375,-961.8671875,1514.6600341796875,-964.976806640625,1510.31640625,-942.3238525390624,1534.8035888671875,-880.6908569335938,1533.330810546875,-962.3310546875,1515.1365966796875,-965.7166137695312,1510.6124267578125,-1022.1812133789062,1573.9249267578125,-972.0806884765624,1501.7225341796875,-968.5551147460938,1470.5206298828125,-975.52783203125,1512.876220703125
7,-889.5818481445312,1432.59521484375,-897.9025268554688,1447.434326171875,-882.1983642578125,1424.0706787109375,-865.6134643554688,1442.9251708984375,-875.5479125976562,1430.37646484375,-861.6088256835938,1477.1705322265625,-936.5318603515624,1412.5167236328125,-907.5908203125,1409.43212890625,-972.7487182617188,1400.393310546875,-875.7850952148438,1417.8414306640625,-880.8132934570312,1411.6431884765625,-865.71533203125,1428.044189453125,-857.031494140625,1422.17236328125,-932.0715942382812,1406.6068115234375,-856.0424194335938,1444.427001953125,-874.7905883789062,1451.5927734375,-868.7617797851562,1425.3006591796875,-977.7947998046876,1463.9154052734375,-841.6795654296875,1432.0184326171875,-866.5381469726562,1443.8212890625,-875.7738037109375,1451.0537109375,-844.39306640625,1450.7833251953125,-814.1904296875,1426.525390625,-927.9102783203124,1486.49755859375,-856.0381469726562,1444.78271484375,-867.2088012695312,1428.083251953125,-869.5390625,1424.9163818359375,-888.3541870117188,1431.8951416015625,-875.5581665039062,1429.828369140625,-856.8566284179688,1422.00537109375,-861.8926391601562,1476.6029052734375,-841.514404296875,1432.264404296875,-827.7122802734375,1421.52783203125,-835.2972412109375,1472.31591796875,-920.1068115234376,1496.5048828125,-850.0316162109375,1469.534423828125,-866.955078125,1428.4139404296875,-850.6717529296875,1468.41650390625,-879.576171875,1550.7796630859375,-834.67626953125,1471.6302490234375,-868.6257934570312,1424.62939453125,-841.5841064453125,1431.7264404296875,-827.4694213867188,1421.6851806640625,-850.50927734375,1468.5330810546875,-875.0281372070312,1546.98583984375,-857.3828735351562,1536.314697265625,-925.1503295898438,1532.8377685546875,-875.2644653320312,1451.4356689453125,-866.9230346679688,1428.45703125,-857.86767578125,1537.6610107421875,-861.5901489257812,1476.73681640625,-958.5806274414062,1519.47216796875,-835.5079345703125,1471.8798828125,-961.697021484375,1514.5931396484375,-964.8318481445312,1510.3218994140625,-942.3836059570312,1534.9437255859375,-880.7259521484375,1533.380859375,-962.2255859375,1515.078369140625,-965.1827392578124,1510.1890869140625,-1022.1885375976562,1573.9296875,-972.0771484375,1501.6978759765625,-968.6173706054688,1470.86572265625,-975.5173950195312,1512.854248046875
8,-889.5797729492188,1432.5977783203125,-897.4911499023438,1448.0677490234375,-882.34619140625,1424.1787109375,-865.7576904296875,1442.8206787109375,-875.7848510742188,1430.6292724609375,-861.6849365234375,1477.232666015625,-936.6263427734376,1412.635009765625,-907.6227416992188,1409.4483642578125,-972.8781127929688,1400.324462890625,-875.7745971679688,1417.8492431640625,-880.8029174804688,1411.651123046875,-865.7149047851562,1428.00927734375,-857.0618286132812,1422.13330078125,-932.2392578125,1406.4874267578125,-856.1401977539062,1444.4095458984375,-874.82275390625,1451.5635986328125,-868.7569580078125,1425.2945556640625,-977.9712524414062,1463.4052734375,-841.66552734375,1432.073486328125,-866.215087890625,1443.4862060546875,-875.7659912109375,1451.0509033203125,-844.3677978515625,1450.8114013671875,-814.4843139648438,1426.1524658203125,-928.1268310546876,1486.228271484375,-856.0277099609375,1444.7781982421875,-867.2203979492188,1428.0928955078125,-869.5499267578125,1424.9239501953125,-888.3649291992188,1431.8726806640625,-875.6396484375,1429.8133544921875,-856.8767700195312,1422.0015869140625,-861.9172973632812,1476.6456298828125,-841.3731079101562,1432.306640625,-827.76171875,1421.531005859375,-835.2942504882812,1472.31591796875,-921.302734375,1497.6485595703125,-850.0432739257812,1469.4979248046875,-866.95751953125,1428.40576171875,-850.81982421875,1468.4024658203125,-878.90380859375,1550.18359375,-834.6168823242188,1471.6820068359375,-868.7549438476562,1424.879638671875,-841.5936889648438,1431.713623046875,-827.5300903320312,1421.626220703125,-850.4395751953125,1468.599609375,-874.4131469726562,1546.4189453125,-856.8731079101562,1536.018798828125,-925.2550048828124,1532.8558349609375,-875.2515869140625,1451.5001220703125,-866.9547729492188,1428.5570068359375,-857.0994873046875,1537.2510986328125,-861.5452270507812,1476.7393798828125,-958.609375,1519.4073486328125,-835.4688720703125,1472.0015869140625,-961.6721801757812,1514.556640625,-964.956298828125,1510.416259765625,-941.669677734375,1534.354736328125,-881.2493286132812,1533.82763671875,-962.2535400390624,1515.075439453125,-965.1887817382812,1510.1817626953125,-1022.19970703125,1573.9420166015625,-972.125,1501.687744140625,-968.2824096679688,1470.62158203125,-975.5385131835938,1512.88916015625
9,-889.5760498046875,1432.61328125,-897.0579833984375,1448.7510986328125,-882.189453125,1424.4578857421875,-866.177734375,1443.285888671875,-876.415283203125,1430.678955078125,-861.5399780273438,1477.0595703125,-936.6301879882812,1412.6807861328125,-907.6295776367188,1409.459716796875,-973.0301513671876,1400.0357666015625,-875.7752685546875,1417.853515625,-880.8035888671875,1411.6552734375,-865.7076416015625,1427.9801025390625,-857.0928955078125,1422.08056640625,-932.2430419921876,1406.4949951171875,-856.193603515625,1444.3544921875,-874.8482666015625,1451.54248046875,-868.754638671875,1425.291015625,-978.3271484375,1462.921630859375,-841.648193359375,1432.14111328125,-866.5609741210938,1443.736572265625,-875.7714233398438,1451.0528564453125,-844.3571166992188,1450.8524169921875,-814.4716186523438,1426.139404296875,-928.4442138671876,1485.731201171875,-856.3404541015625,1444.828857421875,-867.2164916992188,1428.097412109375,-869.5567016601562,1424.933349609375,-888.3798828125,1431.8536376953125,-875.699951171875,1429.8328857421875,-856.8817749023438,1421.9862060546875,-861.8965454101562,1476.6488037109375,-841.55419921875,1432.120849609375,-827.8164672851562,1421.519287109375,-835.2828369140625,1472.315185546875,-921.7342529296876,1497.5601806640625,-850.046630859375,1469.4898681640625,-866.9849243164062,1428.4683837890625,-850.8276977539062,1468.4024658203125,-878.2088623046875,1549.54150390625,-834.6434326171875,1471.3890380859375,-868.8460083007812,1424.7767333984375,-841.58203125,1431.7017822265625,-827.5880126953125,1421.56982421875,-850.3916015625,1468.75537109375,-873.5518798828125,1546.134521484375,-856.3461303710938,1535.7342529296875,-925.3309936523438,1532.7984619140625,-875.3115234375,1451.480712890625,-866.8895874023438,1428.54052734375,-856.1207275390625,1537.0020751953125,-861.5458984375,1476.78564453125,-958.6177368164062,1519.412841796875,-835.4646606445312,1472.06640625,-961.5407104492188,1514.5303955078125,-964.9560546875,1510.4251708984375,-942.0276489257812,1534.677734375,-881.6250610351562,1534.0445556640625,-962.4793701171876,1514.9447021484375,-965.362060546875,1510.2955322265625,-1022.1845092773438,1573.953369140625,-972.1439208984376,1501.710693359375,-968.0928344726562,1470.5936279296875,-975.5223388671876,1512.8858642578125
