,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti9_centroid_x,ti9_centroid_y,ti66_centroid_x,ti66_centroid_y,ti154_centroid_x,ti154_centroid_y,ti170_centroid_x,ti170_centroid_y,ti178_centroid_x,ti178_centroid_y,ti207_centroid_x,ti207_centroid_y,ti318_centroid_x,ti318_centroid_y,ti388_centroid_x,ti388_centroid_y,ti436_centroid_x,ti436_centroid_y,ti453_centroid_x,ti453_centroid_y,ti461_centroid_x,ti461_centroid_y,ti481_centroid_x,ti481_centroid_y,ti505_centroid_x,ti505_centroid_y,ti573_centroid_x,ti573_centroid_y,ti582_centroid_x,ti582_centroid_y,ti590_centroid_x,ti590_centroid_y,ti605_centroid_x,ti605_centroid_y,ti646_centroid_x,ti646_centroid_y,ti695_centroid_x,ti695_centroid_y,ti729_centroid_x,ti729_centroid_y,ti741_centroid_x,ti741_centroid_y,ti783_centroid_x,ti783_centroid_y,ti788_centroid_x,ti788_centroid_y,ti789_centroid_x,ti789_centroid_y,ti807_centroid_x,ti807_centroid_y,ti817_centroid_x,ti817_centroid_y,ti844_centroid_x,ti844_centroid_y,ti855_centroid_x,ti855_centroid_y,ti890_centroid_x,ti890_centroid_y,ti900_centroid_x,ti900_centroid_y,ti905_centroid_x,ti905_centroid_y,ti926_centroid_x,ti926_centroid_y,ti927_centroid_x,ti927_centroid_y,ti931_centroid_x,ti931_centroid_y,ti966_centroid_x,ti966_centroid_y,ti1022_centroid_x,ti1022_centroid_y,ti1051_centroid_x,ti1051_centroid_y,ti1055_centroid_x,ti1055_centroid_y,ti1065_centroid_x,ti1065_centroid_y,ti1070_centroid_x,ti1070_centroid_y,ti1088_centroid_x,ti1088_centroid_y,ti1103_centroid_x,ti1103_centroid_y,ti1108_centroid_x,ti1108_centroid_y,ti1111_centroid_x,ti1111_centroid_y,ti1119_centroid_x,ti1119_centroid_y,ti1127_centroid_x,ti1127_centroid_y,ti1135_centroid_x,ti1135_centroid_y,ti1137_centroid_x,ti1137_centroid_y
0,-952.5826416015624,1508.9732666015625,-973.7426147460938,1498.81591796875,-988.2576904296876,1499.302001953125,-916.7471313476562,1529.2564697265625,-962.839111328125,1426.8082275390625,-956.8968505859376,1449.047119140625,-957.3667602539062,1440.1329345703125,-1043.945068359375,1420.1861572265625,-953.0181884765624,1453.1602783203125,-948.2484130859376,1459.4022216796875,-1054.591796875,1433.0428466796875,-941.4276733398438,1418.026611328125,-943.3366088867188,1459.3270263671875,-942.4373779296876,1465.334228515625,-973.7870483398438,1498.8031005859375,-969.174072265625,1407.78564453125,-944.4478149414062,1457.7379150390625,-969.4044189453124,1407.8643798828125,-941.7506103515624,1413.427490234375,-972.194091796875,1401.137939453125,-933.4024047851562,1473.091796875,-974.0348510742188,1499.0877685546875,-969.3335571289062,1407.6231689453125,-972.3355102539062,1400.8348388671875,-933.9149780273438,1473.0028076171875,-942.27490234375,1414.081787109375,-969.5675659179688,1407.2559814453125,-973.9174194335938,1498.83203125,-975.0796508789062,1394.863037109375,-933.0230102539062,1474.37890625,-932.0516967773438,1475.4981689453125,-941.5552368164062,1413.3453369140625,-974.7460327148438,1396.6846923828125,-937.5532836914062,1473.3328857421875,-924.4734497070312,1395.7086181640625,-859.7109375,1293.0455322265625,-982.0147094726562,1356.52685546875,-973.8033447265624,1498.7242431640625,-941.8475952148438,1413.5628662109375,-981.4642333984376,1382.0499267578125,-983.8856811523438,1367.241943359375,-926.6282958984376,1402.626708984375,-936.1546020507812,1411.7169189453125,-938.6817016601562,1471.22314453125,-980.5699462890624,1357.1162109375,-877.648193359375,1332.4776611328125,-941.1177368164062,1417.6722412109375,-941.6548461914062,1413.6431884765625,-937.861328125,1472.567626953125,-973.9004516601562,1498.7701416015625,-981.2047119140624,1383.1571044921875
1,-953.5599365234376,1507.7740478515625,-973.7482299804688,1498.813720703125,-988.1800537109376,1499.3629150390625,-918.0631103515624,1528.8785400390625,-962.980224609375,1425.7301025390625,-956.7948608398438,1449.051513671875,-957.5130615234376,1440.13525390625,-1043.9437255859377,1420.1912841796875,-952.4232177734376,1453.965576171875,-948.0908813476562,1459.340576171875,-1054.8316650390623,1433.337890625,-941.3796997070312,1417.6583251953125,-944.3944702148438,1457.841796875,-943.6198120117188,1463.7412109375,-974.033203125,1498.166259765625,-969.1815185546876,1407.7755126953125,-945.6986083984376,1456.627197265625,-969.3897094726562,1407.8695068359375,-942.1337890625,1413.6551513671875,-972.1661376953124,1401.328125,-935.0287475585938,1470.544921875,-974.3527221679688,1498.7899169921875,-969.2572631835938,1408.2130126953125,-972.2127075195312,1400.565673828125,-934.7438354492188,1472.14990234375,-942.3400268554688,1414.0133056640625,-970.09814453125,1406.846435546875,-974.162353515625,1498.4376220703125,-975.3114624023438,1394.3350830078125,-933.4183959960938,1473.9061279296875,-932.8089599609376,1474.2247314453125,-941.3877563476562,1413.1719970703125,-975.04345703125,1395.528564453125,-938.3963623046876,1471.7054443359375,-924.8221435546876,1396.7567138671875,-859.7119750976562,1293.044921875,-981.2652587890624,1355.8316650390625,-973.8038330078124,1498.72412109375,-941.84716796875,1413.5631103515625,-981.89404296875,1381.4857177734375,-983.8141479492188,1366.6319580078125,-927.2557983398438,1403.7772216796875,-936.5308837890624,1412.3045654296875,-939.654541015625,1470.072265625,-980.1326293945312,1355.5128173828125,-877.6477661132812,1332.4779052734375,-941.5791625976562,1418.345458984375,-942.3579711914062,1413.503662109375,-938.5228271484376,1471.309814453125,-974.4287719726562,1498.7122802734375,-981.76220703125,1382.2349853515625
2,-953.3541259765624,1508.152099609375,-974.3853759765624,1499.13623046875,-988.1069946289062,1499.4180908203125,-918.3087158203124,1528.8477783203125,-963.5413208007812,1424.894775390625,-956.784912109375,1449.098388671875,-958.096923828125,1439.2796630859375,-1043.9468994140623,1420.1925048828125,-952.3749389648438,1454.06689453125,-947.8329467773438,1459.5941162109375,-1054.8192138671877,1433.3748779296875,-941.3184204101562,1417.4656982421875,-945.4641723632812,1456.6822509765625,-943.478759765625,1463.98291015625,-973.8687133789062,1497.974609375,-969.391357421875,1408.075439453125,-946.9352416992188,1455.216796875,-969.453125,1407.8709716796875,-942.1461791992188,1413.6365966796875,-972.198486328125,1401.6939697265625,-935.8640747070312,1469.55322265625,-974.3544921875,1498.7919921875,-969.3201293945312,1408.06591796875,-972.9120483398438,1400.360595703125,-934.861572265625,1472.1337890625,-942.4813232421876,1413.9112548828125,-970.0814819335938,1406.570068359375,-974.1624145507812,1498.4376220703125,-975.4899291992188,1393.83349609375,-933.54052734375,1473.0841064453125,-933.2952880859376,1473.483642578125,-941.66455078125,1413.4378662109375,-975.37158203125,1394.85546875,-939.2350463867188,1470.400390625,-925.0715942382812,1396.98779296875,-859.7305908203125,1293.0823974609375,-980.6641845703124,1355.3385009765625,-974.4403076171876,1498.7412109375,-942.4577026367188,1414.109130859375,-982.2072143554688,1381.1004638671875,-983.8755493164062,1366.2105712890625,-927.4830322265624,1404.508056640625,-936.8796997070312,1412.640625,-940.2098999023438,1469.42333984375,-979.5029907226562,1354.56298828125,-876.1055908203125,1332.9566650390625,-941.9007568359376,1418.5933837890625,-942.8170166015624,1414.1290283203125,-939.5137939453124,1471.1160888671875,-974.4291381835938,1498.7122802734375,-981.8920288085938,1381.3818359375
3,-953.97021484375,1507.416259765625,-974.3917846679688,1499.1451416015625,-988.1094970703124,1499.3944091796875,-918.4324340820312,1528.4820556640625,-963.3827514648438,1424.3880615234375,-957.0552368164062,1448.740234375,-958.4363403320312,1438.6214599609375,-1043.8355712890623,1419.9520263671875,-951.9630126953124,1454.4774169921875,-947.7111206054688,1459.7825927734375,-1054.82177734375,1433.398193359375,-941.504150390625,1417.634521484375,-945.9924926757812,1456.070556640625,-943.4050903320312,1464.17236328125,-973.9027099609376,1498.0045166015625,-969.1907958984376,1407.8472900390625,-947.5702514648438,1454.388916015625,-969.609130859375,1407.775390625,-942.7181396484376,1413.8270263671875,-972.0437622070312,1401.7933349609375,-936.0853881835938,1468.99560546875,-974.53076171875,1498.9256591796875,-969.4021606445312,1407.8974609375,-973.059326171875,1399.843017578125,-935.3129272460938,1471.5555419921875,-942.622314453125,1413.8092041015625,-970.250732421875,1406.1585693359375,-974.1619873046876,1498.4376220703125,-975.8750610351562,1393.3626708984375,-933.59375,1472.8409423828125,-933.7235107421876,1472.7177734375,-941.6861572265624,1413.464599609375,-975.71728515625,1394.204833984375,-939.8533935546876,1469.856201171875,-925.4268798828124,1397.6824951171875,-859.7124633789062,1293.046142578125,-980.9859008789062,1354.275146484375,-974.4398193359376,1498.7413330078125,-942.749755859375,1414.3863525390625,-982.5079956054688,1380.2725830078125,-983.7883911132812,1365.6634521484375,-927.763916015625,1405.0439453125,-937.2232666015624,1413.049560546875,-940.4437255859376,1469.006591796875,-978.6448364257812,1353.5968017578125,-876.1065673828125,1332.9560546875,-942.2014770507812,1418.9100341796875,-942.4757690429688,1414.0806884765625,-939.7628173828124,1470.90478515625,-974.7391357421876,1498.7978515625,-982.2517700195312,1380.408203125
4,-954.4342041015624,1506.86376953125,-974.3929443359376,1499.2222900390625,-988.0894775390624,1499.4215087890625,-918.7687377929688,1528.52099609375,-963.7339477539062,1423.1236572265625,-957.2848510742188,1448.4998779296875,-958.7529907226562,1437.8887939453125,-1043.823974609375,1419.932861328125,-951.726318359375,1454.714111328125,-947.6039428710938,1460.005615234375,-1054.939453125,1433.539306640625,-941.5151977539062,1417.4483642578125,-946.520751953125,1455.4183349609375,-943.4306030273438,1464.1085205078125,-973.8464965820312,1497.8697509765625,-968.8965454101562,1408.2928466796875,-948.1795654296876,1453.6661376953125,-969.6666259765624,1407.76708984375,-943.0096435546876,1413.90673828125,-972.0402221679688,1401.8897705078125,-936.3048095703124,1468.609375,-974.5309448242188,1498.9095458984375,-969.397705078125,1407.88232421875,-973.1685180664062,1399.32763671875,-935.6234130859376,1470.97216796875,-942.5564575195312,1413.983642578125,-970.4888305664062,1405.6341552734375,-973.5260620117188,1498.0860595703125,-976.0501708984376,1392.904296875,-933.6919555664062,1472.6805419921875,-934.1590576171876,1472.030029296875,-942.236572265625,1414.090576171875,-976.034423828125,1393.6639404296875,-940.21240234375,1469.33056640625,-925.7820434570312,1398.3770751953125,-859.7026977539062,1293.034912109375,-980.7196655273438,1353.599853515625,-974.2144165039062,1498.6119384765625,-942.3536376953124,1413.984375,-982.6687622070312,1379.769775390625,-983.6463012695312,1365.0960693359375,-928.05859375,1405.6092529296875,-937.5859985351562,1413.4066162109375,-940.716796875,1468.7471923828125,-977.8632202148438,1352.7498779296875,-877.3546142578125,1332.3360595703125,-942.3963623046876,1419.241943359375,-942.256591796875,1413.8060302734375,-939.38427734375,1470.8436279296875,-974.6925659179688,1498.89208984375,-982.5718994140624,1379.784912109375
5,-954.8849487304688,1506.3472900390625,-974.3975830078124,1499.2733154296875,-988.0753173828124,1499.433837890625,-919.8088989257812,1528.2386474609375,-963.8963012695312,1422.4168701171875,-957.3628540039062,1448.4530029296875,-959.1344604492188,1437.1185302734375,-1043.781982421875,1419.8428955078125,-951.7403564453124,1454.7091064453125,-947.4957275390624,1460.1572265625,-1055.2081298828123,1433.815185546875,-941.5436401367188,1417.4801025390625,-947.0064697265624,1454.698486328125,-943.3291015625,1464.197509765625,-973.7120361328124,1497.939453125,-969.0167236328124,1408.229736328125,-948.8035888671876,1452.85302734375,-969.6295776367188,1407.7188720703125,-943.3428344726562,1414.150634765625,-972.090087890625,1401.6971435546875,-936.8366088867188,1467.87646484375,-974.5318603515624,1498.894775390625,-969.4329223632812,1407.791259765625,-973.290771484375,1398.9013671875,-935.9736328125,1470.4747314453125,-942.3895263671876,1413.97314453125,-970.6719360351562,1405.2010498046875,-973.5447387695312,1497.959228515625,-976.3084106445312,1392.529296875,-933.72509765625,1472.638916015625,-934.4552612304688,1471.5001220703125,-942.1989135742188,1414.0750732421875,-976.255615234375,1393.1220703125,-940.6492309570312,1468.6839599609375,-926.2666625976562,1398.9940185546875,-859.7254638671875,1293.0330810546875,-980.4983520507812,1352.8294677734375,-974.1901245117188,1498.616455078125,-942.2791748046876,1413.937744140625,-982.91845703125,1379.239013671875,-983.627685546875,1364.32958984375,-928.3211669921876,1406.1190185546875,-937.8734130859376,1413.761474609375,-940.9737548828124,1468.5526123046875,-977.1190185546876,1351.9873046875,-877.541748046875,1331.92431640625,-943.0322265625,1419.9837646484375,-942.2595825195312,1414.03369140625,-939.8309326171876,1470.5301513671875,-974.73974609375,1498.7977294921875,-982.8218383789062,1379.11669921875
6,-955.2730102539062,1505.8294677734375,-974.3831787109376,1499.206298828125,-988.055908203125,1499.4111328125,-919.5147705078124,1527.9637451171875,-964.28515625,1421.28173828125,-957.263427734375,1448.42626953125,-959.5467529296876,1436.4017333984375,-1043.8450927734377,1419.3216552734375,-951.83349609375,1454.5994873046875,-947.4271240234376,1460.1754150390625,-1055.4149169921877,1434.0167236328125,-941.6322631835938,1417.4998779296875,-947.5595092773438,1453.9654541015625,-943.273681640625,1464.25,-973.8721923828124,1498.091552734375,-968.8748779296876,1408.3863525390625,-949.462890625,1452.0115966796875,-969.590087890625,1407.694580078125,-943.0655517578124,1413.8817138671875,-972.1514282226562,1401.64453125,-937.2162475585938,1467.4195556640625,-974.5319213867188,1498.8800048828125,-969.4937133789062,1407.7073974609375,-973.3861694335938,1398.600830078125,-936.0895385742188,1470.3280029296875,-942.2164306640624,1413.842529296875,-970.8717041015624,1404.79443359375,-973.5524291992188,1497.908447265625,-976.4931030273438,1392.2081298828125,-933.8173828125,1472.6937255859375,-934.7745361328124,1471.0186767578125,-942.3789672851562,1413.902587890625,-976.5226440429688,1392.6279296875,-941.1087036132812,1467.9876708984375,-926.7101440429688,1399.6373291015625,-859.7783813476562,1292.9891357421875,-980.33935546875,1352.617919921875,-974.4647827148438,1498.6937255859375,-942.2498779296876,1413.9208984375,-983.167236328125,1378.7080078125,-983.6639404296876,1363.9163818359375,-928.5458374023438,1406.6287841796875,-938.209228515625,1414.2113037109375,-941.2147216796876,1468.2540283203125,-976.4640502929688,1351.2984619140625,-877.6752319335938,1332.92236328125,-943.4097900390624,1420.4156494140625,-942.2709350585938,1414.0728759765625,-940.0546264648438,1470.301025390625,-974.7398681640624,1498.7977294921875,-983.130126953125,1378.4576416015625
7,-955.6980590820312,1505.3917236328125,-974.3787231445312,1499.216552734375,-988.0824584960938,1499.3970947265625,-920.4064331054688,1528.445556640625,-964.3515014648438,1420.94091796875,-957.2794799804688,1448.3790283203125,-960.0186767578124,1435.6595458984375,-1043.8167724609377,1418.912841796875,-951.8753662109376,1454.477783203125,-947.3663940429688,1460.2154541015625,-1055.652587890625,1434.30322265625,-941.4962768554688,1417.3426513671875,-948.1466064453124,1453.198486328125,-943.1942749023438,1464.28857421875,-974.1964111328124,1498.1751708984375,-968.7153930664062,1408.50634765625,-950.1259155273438,1451.1549072265625,-969.6212768554688,1407.728271484375,-942.8890991210938,1413.706298828125,-972.2650756835938,1401.5892333984375,-937.65283203125,1466.8895263671875,-974.5336303710938,1498.8646240234375,-969.5446166992188,1407.634765625,-973.5449829101562,1398.21142578125,-936.252197265625,1470.083984375,-942.3714599609376,1413.7159423828125,-971.0651245117188,1404.44482421875,-973.5254516601562,1498.086181640625,-976.5867309570312,1391.7462158203125,-934.047607421875,1472.3837890625,-935.1087646484376,1470.600341796875,-942.4091186523438,1413.9873046875,-976.7547607421876,1392.1246337890625,-941.6195678710938,1467.362548828125,-927.1315307617188,1400.2509765625,-859.8079223632812,1292.968505859375,-980.0770874023438,1351.8343505859375,-974.5001831054688,1498.70166015625,-942.2137451171876,1413.875732421875,-983.3883056640624,1378.0556640625,-983.4638061523438,1363.02734375,-928.808837890625,1407.1846923828125,-938.6419067382812,1414.5914306640625,-941.4762573242188,1467.9278564453125,-975.92626953125,1350.5687255859375,-877.859619140625,1333.3013916015625,-943.677490234375,1420.841064453125,-942.3900756835938,1413.858642578125,-940.1524047851562,1470.1141357421875,-974.7400512695312,1498.7977294921875,-983.380126953125,1377.77001953125
8,-956.077880859375,1504.909423828125,-974.377685546875,1499.39599609375,-988.0732421875,1499.392333984375,-921.4019165039062,1528.6116943359375,-964.49560546875,1420.4422607421875,-957.2894897460938,1448.4315185546875,-960.4160766601562,1434.930908203125,-1043.5625,1418.9595947265625,-951.922119140625,1454.3577880859375,-947.3138427734376,1460.2532958984375,-1055.807861328125,1434.4765625,-941.4734497070312,1417.31396484375,-948.7482299804688,1452.3740234375,-943.1199340820312,1464.323974609375,-974.3416748046876,1498.364990234375,-968.6455688476562,1408.61669921875,-950.7993774414062,1450.28564453125,-969.6193237304688,1407.7493896484375,-942.8789672851562,1413.68408203125,-972.2366943359376,1401.6297607421875,-938.0693969726562,1466.2996826171875,-974.4276733398438,1498.7554931640625,-969.598388671875,1407.5562744140625,-973.5700073242188,1398.19970703125,-936.4642333984376,1469.710693359375,-942.480712890625,1413.6409912109375,-971.1756591796876,1404.1031494140625,-973.5701293945312,1497.8067626953125,-976.7802124023438,1391.3441162109375,-934.1871337890624,1472.1199951171875,-935.2625122070312,1470.332763671875,-942.351806640625,1414.047119140625,-976.9633178710938,1391.7169189453125,-942.0497436523438,1466.8095703125,-927.64111328125,1400.719970703125,-859.8072509765625,1292.96923828125,-979.0661010742188,1350.94189453125,-974.4226684570312,1498.6744384765625,-942.18212890625,1413.88623046875,-983.696533203125,1377.4591064453125,-983.5488891601562,1362.710693359375,-929.0850830078124,1407.759033203125,-938.9971313476562,1415.017333984375,-941.691650390625,1467.6693115234375,-975.3892211914062,1349.8392333984375,-877.9201049804688,1333.4595947265625,-943.9406127929688,1421.2520751953125,-942.632568359375,1413.8388671875,-940.2487182617188,1469.9473876953125,-974.6121826171876,1499.0511474609375,-983.5623779296876,1377.0726318359375
9,-956.5765380859376,1504.3214111328125,-974.3643188476562,1499.2099609375,-987.9686279296876,1499.292724609375,-922.1930541992188,1528.59033203125,-964.6732177734376,1419.745361328125,-957.28173828125,1448.3408203125,-960.7920532226562,1434.2562255859375,-1043.7244873046877,1418.781494140625,-951.9873046875,1454.208740234375,-947.3536376953124,1460.196044921875,-1055.8936767578123,1434.5440673828125,-941.5043334960938,1417.2884521484375,-949.3211059570312,1451.6036376953125,-943.1577758789062,1464.2711181640625,-974.598388671875,1498.6976318359375,-968.54736328125,1408.568115234375,-951.4669189453124,1449.402099609375,-969.5459594726562,1407.8062744140625,-942.5598754882812,1413.6605224609375,-972.2508544921876,1401.5513916015625,-938.486328125,1465.7431640625,-974.5452270507812,1498.8349609375,-969.627685546875,1407.4718017578125,-973.7767944335938,1397.8629150390625,-936.7273559570312,1469.3338623046875,-942.551025390625,1413.63671875,-971.4073486328124,1403.7593994140625,-973.5256958007812,1498.086181640625,-976.9741821289062,1390.94189453125,-934.3631591796876,1471.828369140625,-935.438232421875,1470.123291015625,-942.3004150390624,1413.99365234375,-977.06640625,1391.50830078125,-942.4862060546876,1466.243896484375,-928.00390625,1401.311279296875,-859.8314208984375,1292.953857421875,-978.4256591796876,1350.3582763671875,-974.4009399414062,1498.6649169921875,-942.0930786132812,1413.7825927734375,-983.8284301757812,1376.8182373046875,-983.3242797851562,1362.015869140625,-929.3071899414062,1408.401123046875,-939.3685913085938,1415.40625,-941.8955688476562,1467.3736572265625,-974.8510131835938,1349.1097412109375,-877.9317016601562,1333.588134765625,-944.1766967773438,1421.6466064453125,-942.4269409179688,1413.862060546875,-940.418212890625,1469.8448486328125,-974.5928955078124,1499.0908203125,-983.8032836914062,1376.3232421875
