,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti6_centroid_x,ti6_centroid_y,ti7_centroid_x,ti7_centroid_y,ti8_centroid_x,ti8_centroid_y,ti9_centroid_x,ti9_centroid_y,ti11_centroid_x,ti11_centroid_y,ti12_centroid_x,ti12_centroid_y,ti13_centroid_x,ti13_centroid_y,ti14_centroid_x,ti14_centroid_y,ti15_centroid_x,ti15_centroid_y,ti17_centroid_x,ti17_centroid_y,ti18_centroid_x,ti18_centroid_y,ti91_centroid_x,ti91_centroid_y,ti105_centroid_x,ti105_centroid_y,ti126_centroid_x,ti126_centroid_y,ti129_centroid_x,ti129_centroid_y,ti135_centroid_x,ti135_centroid_y,ti138_centroid_x,ti138_centroid_y,ti150_centroid_x,ti150_centroid_y,ti178_centroid_x,ti178_centroid_y,ti182_centroid_x,ti182_centroid_y,ti195_centroid_x,ti195_centroid_y,ti200_centroid_x,ti200_centroid_y,ti203_centroid_x,ti203_centroid_y,ti209_centroid_x,ti209_centroid_y,ti215_centroid_x,ti215_centroid_y,ti221_centroid_x,ti221_centroid_y,ti244_centroid_x,ti244_centroid_y,ti261_centroid_x,ti261_centroid_y,ti279_centroid_x,ti279_centroid_y,ti296_centroid_x,ti296_centroid_y,ti310_centroid_x,ti310_centroid_y,ti328_centroid_x,ti328_centroid_y,ti337_centroid_x,ti337_centroid_y,ti338_centroid_x,ti338_centroid_y,ti343_centroid_x,ti343_centroid_y,ti376_centroid_x,ti376_centroid_y,ti384_centroid_x,ti384_centroid_y,ti395_centroid_x,ti395_centroid_y,ti414_centroid_x,ti414_centroid_y,ti441_centroid_x,ti441_centroid_y,ti374_centroid_x,ti374_centroid_y,ti506_centroid_x,ti506_centroid_y,ti521_centroid_x,ti521_centroid_y,ti545_centroid_x,ti545_centroid_y,ti613_centroid_x,ti613_centroid_y,ti690_centroid_x,ti690_centroid_y,ti699_centroid_x,ti699_centroid_y,ti694_centroid_x,ti694_centroid_y,ti707_centroid_x,ti707_centroid_y,ti715_centroid_x,ti715_centroid_y,ti730_centroid_x,ti730_centroid_y,ti738_centroid_x,ti738_centroid_y,ti754_centroid_x,ti754_centroid_y,ti788_centroid_x,ti788_centroid_y,ti794_centroid_x,ti794_centroid_y,ti801_centroid_x,ti801_centroid_y,ti812_centroid_x,ti812_centroid_y,ti884_centroid_x,ti884_centroid_y,ti885_centroid_x,ti885_centroid_y,ti925_centroid_x,ti925_centroid_y,ti974_centroid_x,ti974_centroid_y,ti995_centroid_x,ti995_centroid_y,ti996_centroid_x,ti996_centroid_y,ti997_centroid_x,ti997_centroid_y,ti1002_centroid_x,ti1002_centroid_y,ti1008_centroid_x,ti1008_centroid_y
0,-965.9012451171876,1416.2037353515625,-942.3513793945312,1413.0054931640625,-938.3397216796876,1407.7418212890625,-944.6964111328124,1432.4324951171875,-961.039794921875,1439.896484375,-973.7758178710938,1398.4403076171875,-940.6876220703124,1415.890625,-963.8291015625,1422.2593994140625,-1000.6682739257812,1378.2867431640625,-1069.8433837890623,1450.868896484375,-1084.3038330078123,1472.8013916015625,-1037.0797119140623,1410.307861328125,-967.5296630859376,1467.85595703125,-974.8816528320312,1496.2239990234375,-935.1077880859376,1452.3692626953125,-976.7039794921876,1484.2210693359375,-935.6813354492188,1442.69482421875,-1004.5968627929688,1382.0540771484375,-964.4121704101562,1509.3638916015625,-968.352783203125,1474.39404296875,-976.801025390625,1484.036376953125,-971.6654052734376,1478.5670166015625,-932.5694580078124,1405.9730224609375,-976.7001953125,1484.186279296875,-958.3865966796876,1446.4525146484375,-940.8909912109376,1416.5687255859375,-975.8330688476562,1496.1982421875,-964.9364624023438,1509.843994140625,-1004.776123046875,1382.1058349609375,-1000.435546875,1378.14453125,-963.724365234375,1422.4989013671875,-956.3058471679688,1448.0885009765625,-984.756591796875,1367.435302734375,-968.2113037109376,1458.2039794921875,-975.1136474609376,1496.2977294921875,-970.1856079101562,1482.4200439453125,-955.869873046875,1448.266357421875,-1017.3186645507812,1280.394287109375,-1080.6746826171877,1516.577392578125,-1051.9388427734377,1449.8477783203125,-962.7403564453124,1452.1077880859375,-1069.191162109375,1499.1044921875,-953.97265625,1451.5751953125,-1009.8226318359376,1387.880859375,-1074.1531982421877,1509.970703125,-984.0352172851562,1362.925537109375,-961.473388671875,1450.556640625,-1046.5548095703123,1423.42822265625,-1033.95703125,1220.130126953125,-973.6372680664062,1397.3870849609375,-969.5658569335938,1408.2620849609375,-1046.4052734375,1422.9058837890625,-1010.27294921875,1388.3353271484375,-1045.03271484375,1180.4188232421875,-895.3740844726562,1276.8773193359375,-1068.1175537109377,1449.36669921875,-952.3363647460938,1452.609130859375,-1076.9609375,1462.945068359375,-973.6519165039062,1405.7421875,-977.4679565429688,1404.5115966796875,-1038.8316650390623,1412.1248779296875,-961.297119140625,1450.240478515625,-982.426025390625,1388.1734619140625,-1036.87060546875,1409.721435546875,-995.51953125,1365.1854248046875,-998.8502807617188,1376.4295654296875,-843.7230834960938,1279.0977783203125,-832.0921630859375,1314.390625,-1033.3018798828123,1406.150146484375,-996.4237670898438,1353.5308837890625,-942.6372680664062,1362.0811767578125
1,-966.0887451171876,1415.7899169921875,-942.808837890625,1413.282958984375,-938.9984130859376,1407.985107421875,-944.52978515625,1433.0491943359375,-961.6162109375,1438.7882080078125,-972.4337158203124,1401.2216796875,-941.3767700195312,1416.7813720703125,-965.2860107421876,1420.92431640625,-1000.3831787109376,1378.2777099609375,-1069.843505859375,1450.868896484375,-1084.3038330078123,1472.80126953125,-1037.079833984375,1410.307861328125,-967.71435546875,1468.3145751953125,-974.8817749023438,1496.2239990234375,-934.0053100585938,1453.9342041015625,-976.7040405273438,1484.2210693359375,-935.672607421875,1442.89404296875,-1004.5966186523438,1382.0535888671875,-964.4120483398438,1509.3638916015625,-968.1820068359376,1475.400390625,-976.69677734375,1484.00341796875,-971.6990356445312,1477.7281494140625,-932.5694580078124,1405.9732666015625,-976.7200317382812,1484.209716796875,-958.912841796875,1445.9190673828125,-941.7074584960938,1416.8084716796875,-975.8359375,1496.199462890625,-964.6895751953124,1509.25634765625,-1004.76220703125,1382.09521484375,-1000.3856811523438,1378.140625,-965.2258911132812,1420.9420166015625,-956.762451171875,1447.7762451171875,-984.880859375,1366.1461181640625,-968.2904663085938,1458.151123046875,-975.1314086914062,1496.258544921875,-970.443359375,1481.7008056640625,-956.034423828125,1447.7440185546875,-1018.0776977539062,1278.852783203125,-1080.67529296875,1516.57666015625,-1051.9444580078123,1449.8480224609375,-962.8257446289062,1452.0084228515625,-1070.5037841796877,1500.648193359375,-953.8895874023438,1451.3182373046875,-1010.6226806640624,1388.6873779296875,-1074.153564453125,1509.9678955078125,-983.8768310546876,1362.494873046875,-961.625,1450.7308349609375,-1046.55810546875,1423.4283447265625,-1034.5491943359377,1218.2347412109375,-974.1654663085938,1395.757080078125,-969.9012451171876,1406.7421875,-1046.40966796875,1422.903564453125,-1010.2318725585938,1388.39306640625,-1045.3114013671877,1178.3482666015625,-895.3737182617188,1276.873779296875,-1068.1285400390623,1449.3604736328125,-952.3348999023438,1452.6015625,-1076.9659423828123,1462.9434814453125,-975.0065307617188,1403.7982177734375,-978.5443115234376,1402.2447509765625,-1038.83984375,1412.1182861328125,-961.1739501953124,1450.1302490234375,-982.7831420898438,1387.245361328125,-1036.87451171875,1409.7254638671875,-996.1514892578124,1364.4786376953125,-999.139404296875,1375.98291015625,-844.517578125,1280.45556640625,-831.9417724609375,1314.3603515625,-1033.3013916015623,1406.146484375,-996.8994140625,1352.210693359375,-942.1041870117188,1361.111328125
2,-966.06103515625,1415.7935791015625,-942.8080444335938,1413.3004150390625,-938.7966918945312,1408.1630859375,-944.3684692382812,1434.5614013671875,-962.1412963867188,1437.74560546875,-972.4364624023438,1401.21435546875,-941.4645385742188,1417.400390625,-965.165283203125,1421.3033447265625,-1000.584716796875,1378.261962890625,-1069.8936767578123,1450.963134765625,-1084.25732421875,1472.6588134765625,-1037.0797119140623,1410.307861328125,-967.9244384765624,1468.746826171875,-974.8817749023438,1496.2239990234375,-933.6693115234376,1454.6005859375,-976.7040405273438,1484.2210693359375,-935.6641845703124,1443.093505859375,-1004.5968627929688,1382.0540771484375,-964.418212890625,1509.3543701171875,-968.0109252929688,1476.1534423828125,-976.677978515625,1484.004150390625,-971.8151245117188,1477.098388671875,-934.4354858398438,1407.853759765625,-976.6737670898438,1484.171630859375,-959.1814575195312,1445.7099609375,-941.9360961914062,1417.1046142578125,-975.8340454101562,1496.20263671875,-964.68603515625,1509.2596435546875,-1004.7623291015624,1382.09912109375,-1000.7046508789062,1378.106201171875,-965.3052978515624,1420.9542236328125,-957.1171875,1447.3880615234375,-984.9020385742188,1364.99755859375,-968.1834106445312,1458.212158203125,-975.197998046875,1496.257080078125,-971.000244140625,1480.8763427734375,-956.3432006835938,1447.24462890625,-1018.3665771484376,1277.913330078125,-1080.9385986328123,1516.3116455078125,-1051.9481201171877,1449.8472900390625,-962.951416015625,1452.059326171875,-1071.967529296875,1501.687744140625,-953.970947265625,1450.92626953125,-1009.9951782226562,1388.0751953125,-1074.0538330078123,1510.100341796875,-983.7525634765624,1362.04443359375,-961.9854125976562,1450.882080078125,-1046.5538330078123,1423.4256591796875,-1034.8695068359377,1216.81982421875,-974.7003784179688,1394.6063232421875,-970.2830810546876,1405.411865234375,-1046.411865234375,1422.912353515625,-1010.1768798828124,1388.3070068359375,-1045.430419921875,1176.942138671875,-892.4755249023438,1274.2261962890625,-1068.1270751953123,1449.35498046875,-952.976318359375,1451.992431640625,-1076.9638671875,1462.8624267578125,-975.5911254882812,1402.7496337890625,-979.0755615234376,1401.023681640625,-1038.849365234375,1412.120361328125,-961.5715942382812,1450.6600341796875,-983.5643310546876,1385.390380859375,-1036.8800048828123,1409.7237548828125,-996.116943359375,1363.718994140625,-999.3900146484376,1375.897705078125,-844.9821166992188,1280.9580078125,-831.7763671875,1314.1033935546875,-1033.33837890625,1406.1561279296875,-997.302734375,1350.9927978515625,-942.0993041992188,1361.1199951171875
3,-966.0777587890624,1415.8026123046875,-942.8009643554688,1413.2584228515625,-938.842041015625,1408.15478515625,-944.1327514648438,1435.2047119140625,-962.60009765625,1436.641357421875,-972.4461059570312,1401.2496337890625,-941.7490844726562,1417.4375,-965.207275390625,1421.1705322265625,-1000.53857421875,1378.211181640625,-1069.8291015625,1450.894775390625,-1084.2413330078123,1472.6614990234375,-1036.6600341796877,1410.6004638671875,-968.1303100585938,1469.2156982421875,-974.8829956054688,1496.223876953125,-932.9860229492188,1455.630859375,-976.712158203125,1484.2275390625,-935.6558227539062,1443.2930908203125,-1004.7894897460938,1382.084228515625,-964.4022827148438,1509.35400390625,-967.8475952148438,1476.9071044921875,-976.7203979492188,1484.0633544921875,-971.8954467773438,1476.8780517578125,-935.1798706054688,1408.9327392578125,-976.7039184570312,1484.2060546875,-959.44970703125,1445.4425048828125,-942.1350708007812,1417.54443359375,-975.755615234375,1496.452392578125,-964.6619873046876,1509.2459716796875,-1004.7662963867188,1382.0980224609375,-1000.9115600585938,1378.249755859375,-965.2042846679688,1421.3243408203125,-957.439453125,1447.0931396484375,-984.8827514648438,1364.0556640625,-967.7826538085938,1457.90478515625,-975.1834716796876,1496.1165771484375,-971.311279296875,1480.185302734375,-956.64453125,1446.6097412109375,-1018.77978515625,1276.6712646484375,-1080.88330078125,1516.3402099609375,-1051.9449462890623,1449.849365234375,-963.0888671875,1452.16845703125,-1073.2950439453123,1502.8154296875,-954.3001098632812,1450.609375,-1009.7763061523438,1387.8685302734375,-1074.2481689453123,1509.900390625,-983.5587768554688,1361.5904541015625,-962.2034912109376,1451.107421875,-1046.560302734375,1423.44189453125,-1035.2132568359377,1215.5023193359375,-974.9503784179688,1394.3817138671875,-971.0361938476562,1404.591796875,-1046.4210205078123,1422.909423828125,-1010.071044921875,1388.179443359375,-1046.6180419921877,1175.6912841796875,-891.303955078125,1273.278564453125,-1068.128662109375,1449.3466796875,-953.0629272460938,1451.9261474609375,-1076.9801025390623,1462.80224609375,-976.2498168945312,1401.9239501953125,-979.9140014648438,1400.269775390625,-1038.8446044921877,1412.11328125,-961.76171875,1450.8900146484375,-983.9104614257812,1384.65673828125,-1036.88134765625,1409.72314453125,-996.5770263671876,1362.7850341796875,-999.312744140625,1375.9478759765625,-845.6130981445312,1281.90478515625,-831.659423828125,1314.05029296875,-1033.3275146484377,1406.1744384765625,-997.6477661132812,1349.919921875,-942.0985717773438,1361.126220703125
4,-966.08544921875,1415.8206787109375,-942.7684936523438,1413.3048095703125,-938.814697265625,1408.1434326171875,-943.938232421875,1435.8828125,-963.137451171875,1435.5772705078125,-972.4426879882812,1401.24169921875,-941.7964477539062,1417.6739501953125,-965.23876953125,1421.07763671875,-1000.5147094726562,1378.26025390625,-1069.834716796875,1450.8900146484375,-1084.225341796875,1472.6640625,-1036.668701171875,1410.5909423828125,-968.1657104492188,1469.6336669921875,-974.88427734375,1496.2237548828125,-932.4390258789062,1456.439208984375,-976.728515625,1484.24169921875,-936.24072265625,1444.540771484375,-1004.6346435546876,1382.138671875,-964.3639526367188,1509.365966796875,-967.7615356445312,1477.550537109375,-976.7583618164062,1484.1634521484375,-972.0153198242188,1476.0130615234375,-935.72705078125,1409.3935546875,-976.6990356445312,1484.2105712890625,-959.9431762695312,1444.8690185546875,-942.3545532226562,1417.849853515625,-975.7325439453124,1496.439453125,-964.6619262695312,1509.249755859375,-1005.3843994140624,1382.8475341796875,-1000.9890747070312,1378.3651123046875,-965.2640991210938,1421.1224365234375,-957.8135375976562,1446.8135986328125,-984.7095947265624,1363.197021484375,-967.5238037109376,1457.7244873046875,-974.956787109375,1496.009521484375,-971.19677734375,1479.7764892578125,-957.0230102539062,1446.209228515625,-1018.8864135742188,1275.4346923828125,-1080.78955078125,1516.461669921875,-1051.94921875,1449.86181640625,-963.218017578125,1452.24951171875,-1074.6776123046877,1503.977294921875,-954.554443359375,1450.1949462890625,-1009.7725830078124,1387.9158935546875,-1074.340576171875,1509.85400390625,-983.3359375,1360.9967041015625,-962.4175415039062,1451.2791748046875,-1046.552978515625,1423.439453125,-1035.555419921875,1214.180908203125,-975.3206787109376,1393.82958984375,-971.3031616210938,1403.8221435546875,-1046.423828125,1422.9080810546875,-1010.1064453125,1388.23193359375,-1047.2015380859377,1174.58544921875,-890.28759765625,1272.162109375,-1068.1400146484377,1449.347412109375,-953.337158203125,1451.61962890625,-1076.9324951171877,1462.879150390625,-976.6806030273438,1400.921875,-980.4365234375,1399.2462158203125,-1038.8402099609377,1412.1124267578125,-961.4276123046876,1450.5850830078125,-984.3333740234376,1383.809326171875,-1036.86376953125,1409.7310791015625,-996.9962768554688,1361.6617431640625,-999.4169921875,1375.8785400390625,-846.2788696289062,1282.7529296875,-831.611572265625,1314.03076171875,-1033.28076171875,1406.111083984375,-997.9041137695312,1349.030029296875,-942.0972900390624,1361.1317138671875
5,-966.0869140625,1415.8084716796875,-942.7889404296876,1413.2940673828125,-938.9105834960938,1408.1602783203125,-943.7537841796876,1436.580322265625,-963.6436767578124,1434.54736328125,-972.4403686523438,1401.2364501953125,-941.9505615234376,1417.9239501953125,-965.2449951171876,1421.03662109375,-1000.6456909179688,1378.28369140625,-1069.8194580078123,1450.8856201171875,-1084.2083740234377,1472.6688232421875,-1036.677490234375,1410.5826416015625,-968.2947387695312,1470.06982421875,-974.9327392578124,1496.2684326171875,-931.859130859375,1457.445068359375,-976.7213134765624,1484.25146484375,-936.2951049804688,1444.7760009765625,-1004.5303344726562,1382.1656494140625,-964.4578857421876,1509.289794921875,-967.6354370117188,1478.135009765625,-976.8038330078124,1484.2081298828125,-972.1178588867188,1475.3028564453125,-935.9766235351562,1409.9892578125,-976.692626953125,1484.215087890625,-960.3092041015624,1444.4466552734375,-942.548828125,1418.13525390625,-975.7324829101562,1496.443359375,-964.5394287109376,1509.1151123046875,-1005.5111694335938,1382.9705810546875,-1000.956298828125,1378.119873046875,-965.18310546875,1421.3231201171875,-958.2617797851562,1446.5159912109375,-984.5798950195312,1362.490478515625,-967.3236694335938,1457.498291015625,-974.6895751953124,1495.8824462890625,-971.3906860351562,1478.99951171875,-957.3369750976562,1445.6688232421875,-1019.1309204101562,1274.222412109375,-1080.6826171875,1516.56298828125,-1051.9561767578123,1449.8682861328125,-963.2688598632812,1452.25,-1076.0216064453123,1505.08544921875,-954.8374633789062,1449.7689208984375,-1009.6939697265624,1387.908203125,-1074.4268798828123,1509.80810546875,-983.1044921875,1360.3907470703125,-962.52294921875,1451.43408203125,-1046.56298828125,1423.5574951171875,-1035.8955078125,1212.8626708984375,-975.6098022460938,1393.2755126953125,-971.7743530273438,1403.224853515625,-1046.421875,1422.9061279296875,-1010.1637573242188,1388.2908935546875,-1047.5345458984377,1173.105712890625,-889.2073974609375,1271.1263427734375,-1066.8330078125,1447.3577880859375,-953.1203002929688,1451.819580078125,-1077.0555419921877,1462.916259765625,-977.087890625,1399.8790283203125,-981.2799072265624,1397.92041015625,-1038.834716796875,1412.106201171875,-961.5406494140624,1450.70849609375,-984.3977661132812,1383.1741943359375,-1038.431884765625,1412.385498046875,-997.4401245117188,1360.45068359375,-999.34716796875,1375.9334716796875,-846.7847290039062,1283.663818359375,-831.5760498046875,1314.0604248046875,-1033.221923828125,1406.05859375,-998.2367553710938,1347.9503173828125,-942.0638427734376,1361.036865234375
6,-966.0806274414062,1415.79931640625,-942.7811889648438,1413.3057861328125,-938.8848266601562,1408.180908203125,-943.5623168945312,1437.257568359375,-964.1870727539062,1433.569580078125,-972.4409790039062,1401.2281494140625,-942.1343994140624,1418.115966796875,-965.2492065429688,1421.0069580078125,-1000.6041259765624,1378.3011474609375,-1069.817138671875,1450.8802490234375,-1084.226806640625,1472.738525390625,-1036.0172119140623,1410.3555908203125,-968.3927612304688,1470.4613037109375,-974.9408569335938,1496.2509765625,-931.2598266601562,1458.389404296875,-976.6995239257812,1484.233642578125,-936.1585083007812,1444.6068115234375,-1004.6561279296876,1382.1412353515625,-964.4270629882812,1509.3052978515625,-967.535400390625,1478.6927490234375,-976.7837524414062,1484.2291259765625,-972.1317138671876,1474.941162109375,-936.3760375976562,1410.38720703125,-976.7186279296876,1484.2132568359375,-960.6262817382812,1444.1708984375,-942.7503051757812,1418.3551025390625,-975.73486328125,1496.4417724609375,-964.4122314453124,1509.160888671875,-1005.648681640625,1383.0758056640625,-1000.9906005859376,1378.2767333984375,-965.2186279296876,1421.13818359375,-958.5501098632812,1446.1611328125,-984.4602661132812,1361.7410888671875,-967.2254028320312,1457.25537109375,-974.4238891601562,1495.829345703125,-971.498779296875,1478.513671875,-957.7079467773438,1445.1424560546875,-1019.3052978515624,1273.0396728515625,-1080.7476806640623,1516.5347900390625,-1051.3470458984377,1449.7056884765625,-963.2485961914062,1452.256103515625,-1077.2811279296877,1506.2734375,-955.09033203125,1449.37451171875,-1009.6442260742188,1387.781005859375,-1074.430908203125,1509.864501953125,-982.9138793945312,1359.89306640625,-962.6272583007812,1451.47119140625,-1046.612548828125,1423.5052490234375,-1036.2386474609377,1211.548095703125,-975.8866577148438,1392.7999267578125,-972.075439453125,1402.44482421875,-1046.5723876953123,1422.6739501953125,-1010.192138671875,1388.2891845703125,-1047.8736572265623,1171.6383056640625,-888.116455078125,1270.1280517578125,-1066.40478515625,1447.13037109375,-953.2247924804688,1451.551025390625,-1077.109130859375,1462.87744140625,-977.5592651367188,1398.9237060546875,-981.6441040039062,1396.7906494140625,-1038.406005859375,1411.5908203125,-961.4765014648438,1450.7041015625,-984.652587890625,1382.2708740234375,-1038.43896484375,1412.382568359375,-997.7693481445312,1359.47705078125,-999.3062744140624,1375.9810791015625,-847.2652587890625,1284.269287109375,-831.5729370117188,1314.0555419921875,-1033.165771484375,1405.9998779296875,-998.5576171875,1346.8922119140625,-942.029541015625,1361.0042724609375
7,-966.0813598632812,1415.79345703125,-942.7969360351562,1413.2882080078125,-938.9151611328124,1408.1181640625,-943.358642578125,1437.99755859375,-964.6709594726562,1432.540771484375,-972.4403076171876,1401.2210693359375,-942.3267211914062,1418.137451171875,-965.256591796875,1420.9708251953125,-1000.6041259765624,1378.2845458984375,-1069.822021484375,1450.8546142578125,-1084.43798828125,1472.969482421875,-1035.8525390625,1410.3822021484375,-968.4645385742188,1470.8638916015625,-974.9382934570312,1496.2596435546875,-930.74267578125,1459.135986328125,-976.6971435546876,1484.218505859375,-936.3966674804688,1445.5948486328125,-1004.6349487304688,1382.1431884765625,-964.3963623046876,1509.3206787109375,-967.3920288085938,1479.2608642578125,-976.8387451171876,1484.219970703125,-972.1614379882812,1474.425537109375,-936.6705322265624,1410.743896484375,-976.7280883789062,1484.2193603515625,-960.9618530273438,1443.9371337890625,-942.8446655273438,1418.6529541015625,-975.6552124023438,1496.3880615234375,-964.390869140625,1509.1912841796875,-1005.0731811523438,1382.4783935546875,-1001.0370483398438,1378.3037109375,-965.1881103515624,1421.2073974609375,-958.8931274414062,1445.8037109375,-984.2420654296876,1360.9713134765625,-967.0792846679688,1457.0751953125,-974.3894653320312,1495.82421875,-971.6141967773438,1477.8983154296875,-958.042724609375,1444.5506591796875,-1019.942626953125,1270.635009765625,-1080.69140625,1516.620361328125,-1051.3382568359377,1449.7293701171875,-963.1928100585938,1452.24169921875,-1078.65869140625,1507.376220703125,-955.3218383789062,1448.9503173828125,-1009.7615356445312,1387.88720703125,-1074.409912109375,1509.89794921875,-982.6779174804688,1359.35205078125,-962.7040405273438,1451.502197265625,-1046.6607666015623,1423.4520263671875,-1036.5831298828123,1210.2303466796875,-976.16259765625,1392.264404296875,-972.27099609375,1401.79345703125,-1046.7086181640623,1423.2100830078125,-1010.2115478515624,1388.3189697265625,-1047.8876953125,1170.1077880859375,-887.0112915039062,1269.107666015625,-1066.4237060546877,1447.4188232421875,-953.3634643554688,1451.4666748046875,-1077.1781005859377,1462.818115234375,-977.882568359375,1397.98583984375,-982.0122680664062,1395.83154296875,-1038.3736572265623,1411.5364990234375,-961.9058837890624,1450.9556884765625,-984.9601440429688,1381.3988037109375,-1037.708251953125,1411.06591796875,-998.1146850585938,1358.411376953125,-999.3706665039062,1375.9625244140625,-847.7987670898438,1284.914306640625,-831.5488891601562,1314.105712890625,-1033.1090087890623,1405.945068359375,-998.8800048828124,1345.814697265625,-942.136474609375,1361.074462890625
8,-966.0809936523438,1415.8018798828125,-942.7940673828124,1413.2933349609375,-938.92041015625,1408.0897216796875,-943.1529541015624,1438.79736328125,-965.1810913085938,1431.5009765625,-972.436767578125,1401.224609375,-942.4328002929688,1418.3358154296875,-965.2590942382812,1420.9561767578125,-1000.5633544921876,1378.260498046875,-1069.8370361328123,1450.854736328125,-1083.8447265625,1472.227783203125,-1035.900390625,1410.438232421875,-968.5443725585938,1471.2744140625,-974.9348754882812,1496.2861328125,-930.408447265625,1459.6968994140625,-976.6957397460938,1484.21044921875,-936.2710571289062,1445.5592041015625,-1004.6756591796876,1382.03466796875,-964.365966796875,1509.3360595703125,-967.3427124023438,1479.79052734375,-976.8497924804688,1484.2249755859375,-972.2062377929688,1473.859375,-936.9599609375,1411.0489501953125,-976.8472900390624,1484.128662109375,-961.3134155273438,1443.65673828125,-943.0498046875,1418.92333984375,-975.5952758789062,1496.391357421875,-964.5532836914062,1509.1146240234375,-1005.369140625,1382.88037109375,-1000.9114990234376,1378.208740234375,-965.1757202148438,1421.0611572265625,-959.2178344726562,1445.4736328125,-984.0328369140624,1360.275390625,-966.9264526367188,1456.92822265625,-974.3511352539062,1495.811767578125,-971.8803100585938,1476.850830078125,-958.3814697265624,1443.9637451171875,-1020.2207641601562,1269.39111328125,-1080.6695556640623,1516.6650390625,-1051.3397216796877,1449.7362060546875,-963.0968017578124,1452.1568603515625,-1079.995361328125,1508.5325927734375,-955.539306640625,1448.5987548828125,-1009.7554321289062,1387.98046875,-1074.4151611328123,1509.9344482421875,-982.4323120117188,1358.88916015625,-962.8167114257812,1451.468994140625,-1046.709716796875,1423.3944091796875,-1036.9393310546877,1208.90869140625,-976.3818359375,1391.947998046875,-972.62060546875,1401.091796875,-1046.713623046875,1423.1685791015625,-1010.2457275390624,1388.42431640625,-1048.12939453125,1168.6529541015625,-885.6856689453125,1268.359130859375,-1066.4281005859377,1447.4376220703125,-953.4263305664062,1451.3699951171875,-1076.9696044921877,1462.9830322265625,-978.29931640625,1397.0794677734375,-982.3829345703124,1395.1815185546875,-1038.3720703125,1411.469970703125,-961.9076538085938,1450.946044921875,-985.3727416992188,1380.4832763671875,-1037.7071533203123,1411.0325927734375,-998.5100708007812,1357.1954345703125,-999.3720092773438,1375.948486328125,-848.4083862304688,1285.7767333984375,-831.5833740234375,1314.0958251953125,-1033.056640625,1405.8873291015625,-999.166748046875,1344.7652587890625,-941.9666748046876,1360.946533203125
9,-966.0833740234376,1415.8052978515625,-942.7877197265624,1413.301513671875,-938.9175415039062,1408.175537109375,-942.9631958007812,1439.595458984375,-965.7097778320312,1430.4378662109375,-972.435302734375,1401.221435546875,-942.522705078125,1418.4984130859375,-965.2606201171876,1420.950927734375,-1000.4424438476562,1378.172119140625,-1069.8482666015623,1450.8233642578125,-1084.1983642578123,1472.634033203125,-1035.900390625,1410.4375,-968.5901489257812,1471.7066650390625,-974.9526977539062,1496.2989501953125,-929.9251098632812,1460.498291015625,-976.7177124023438,1484.1204833984375,-936.2628784179688,1446.0517578125,-1004.6802978515624,1382.0206298828125,-964.33447265625,1509.3514404296875,-967.136474609375,1480.3720703125,-976.8937377929688,1484.2408447265625,-972.2952880859376,1473.204345703125,-937.2009887695312,1411.3231201171875,-976.892333984375,1484.140380859375,-961.6942138671876,1443.3671875,-943.2529296875,1419.2655029296875,-975.5481567382812,1496.3775634765625,-964.6304321289062,1509.0711669921875,-1005.4359130859376,1382.95068359375,-1000.8726806640624,1378.1912841796875,-965.1150512695312,1421.263427734375,-959.5177612304688,1445.1365966796875,-983.8016967773438,1359.5496826171875,-966.787109375,1456.6630859375,-974.3040161132812,1495.7940673828125,-972.0036010742188,1476.103515625,-958.7499389648438,1443.2989501953125,-1020.3299560546876,1268.766845703125,-1080.6966552734377,1516.6636962890625,-1051.346435546875,1449.739501953125,-963.0723266601562,1452.10498046875,-1081.296142578125,1509.6763916015625,-955.779052734375,1448.1951904296875,-1009.9479370117188,1388.307861328125,-1074.4500732421877,1509.9439697265625,-982.188720703125,1358.3895263671875,-962.8742065429688,1451.515869140625,-1047.143798828125,1423.7342529296875,-1037.260498046875,1207.595703125,-976.5906982421876,1391.611572265625,-972.9970703125,1400.474609375,-1047.8095703125,1424.4908447265625,-1010.297607421875,1388.4600830078125,-1048.4942626953123,1167.23876953125,-884.4107055664062,1267.4840087890625,-1067.19140625,1448.2310791015625,-953.2066040039062,1451.7994384765625,-1077.0328369140623,1462.95556640625,-978.6734619140624,1396.0423583984375,-982.8053588867188,1394.353271484375,-1038.3773193359377,1411.4073486328125,-961.8705444335938,1450.93798828125,-985.8884887695312,1379.60498046875,-1037.7113037109377,1411.0028076171875,-998.8980102539062,1356.038818359375,-999.3695068359376,1375.971435546875,-848.9026489257812,1286.3642578125,-831.6176147460938,1314.08447265625,-1033.00341796875,1405.829345703125,-999.4714965820312,1343.7420654296875,-942.141845703125,1361.074951171875
