,ti1_centroid_x,ti1_centroid_y,ti2_centroid_x,ti2_centroid_y,ti3_centroid_x,ti3_centroid_y,ti4_centroid_x,ti4_centroid_y,ti5_centroid_x,ti5_centroid_y,ti6_centroid_x,ti6_centroid_y,ti7_centroid_x,ti7_centroid_y,ti10_centroid_x,ti10_centroid_y,ti14_centroid_x,ti14_centroid_y,ti19_centroid_x,ti19_centroid_y,ti21_centroid_x,ti21_centroid_y,ti22_centroid_x,ti22_centroid_y,ti81_centroid_x,ti81_centroid_y,ti98_centroid_x,ti98_centroid_y,ti99_centroid_x,ti99_centroid_y,ti100_centroid_x,ti100_centroid_y,ti110_centroid_x,ti110_centroid_y,ti128_centroid_x,ti128_centroid_y,ti160_centroid_x,ti160_centroid_y,ti166_centroid_x,ti166_centroid_y,ti172_centroid_x,ti172_centroid_y,ti191_centroid_x,ti191_centroid_y,ti194_centroid_x,ti194_centroid_y,ti195_centroid_x,ti195_centroid_y,ti204_centroid_x,ti204_centroid_y,ti224_centroid_x,ti224_centroid_y,ti229_centroid_x,ti229_centroid_y,ti232_centroid_x,ti232_centroid_y,ti255_centroid_x,ti255_centroid_y,ti267_centroid_x,ti267_centroid_y,ti297_centroid_x,ti297_centroid_y,ti324_centroid_x,ti324_centroid_y,ti349_centroid_x,ti349_centroid_y,ti359_centroid_x,ti359_centroid_y,ti367_centroid_x,ti367_centroid_y,ti372_centroid_x,ti372_centroid_y,ti419_centroid_x,ti419_centroid_y,ti428_centroid_x,ti428_centroid_y,ti459_centroid_x,ti459_centroid_y,ti464_centroid_x,ti464_centroid_y,ti496_centroid_x,ti496_centroid_y,ti498_centroid_x,ti498_centroid_y,ti504_centroid_x,ti504_centroid_y,ti505_centroid_x,ti505_centroid_y,ti535_centroid_x,ti535_centroid_y,ti596_centroid_x,ti596_centroid_y,ti615_centroid_x,ti615_centroid_y,ti641_centroid_x,ti641_centroid_y,ti645_centroid_x,ti645_centroid_y,ti669_centroid_x,ti669_centroid_y,ti679_centroid_x,ti679_centroid_y,ti693_centroid_x,ti693_centroid_y,ti707_centroid_x,ti707_centroid_y,ti714_centroid_x,ti714_centroid_y,ti721_centroid_x,ti721_centroid_y,ti726_centroid_x,ti726_centroid_y,ti757_centroid_x,ti757_centroid_y,ti772_centroid_x,ti772_centroid_y,ti803_centroid_x,ti803_centroid_y,ti826_centroid_x,ti826_centroid_y,ti924_centroid_x,ti924_centroid_y,ti932_centroid_x,ti932_centroid_y,ti933_centroid_x,ti933_centroid_y,ti939_centroid_x,ti939_centroid_y,ti940_centroid_x,ti940_centroid_y,ti949_centroid_x,ti949_centroid_y,ti1123_centroid_x,ti1123_centroid_y,ti1130_centroid_x,ti1130_centroid_y
0,-981.4974975585938,1381.6884765625,-973.8069458007812,1397.9613037109375,-993.3436889648438,1371.0634765625,-1007.298095703125,1384.68310546875,-968.2591552734376,1411.18701171875,-970.4429931640624,1405.6778564453125,-1015.0248413085938,1393.93115234375,-1007.9769897460938,1292.2890625,-1006.8948364257812,1310.6114501953125,-1086.92919921875,1483.705322265625,-944.5802612304688,1421.671142578125,-963.28515625,1430.3665771484375,-958.7741088867188,1439.3284912109375,-962.1431884765624,1443.4117431640625,-908.2717895507812,1332.38818359375,-1057.189453125,1488.3477783203125,-944.2677001953124,1413.748779296875,-950.8324584960938,1460.529052734375,-1008.258544921875,1292.6334228515625,-1005.2003173828124,1315.7357177734375,-1010.4635009765624,1306.8023681640625,-966.9840087890624,1457.4700927734375,-939.7845458984376,1415.619384765625,-955.2628784179688,1448.1888427734375,-915.39013671875,1337.2225341796875,-1011.5653076171876,1304.373291015625,-1024.0142822265623,1234.7318115234375,-940.3268432617188,1416.730224609375,-1005.526123046875,1290.629638671875,-941.0322875976562,1417.948974609375,-1010.248046875,1307.97314453125,-954.4058227539062,1450.1685791015625,-943.3433837890624,1413.5657958984375,-1008.7214965820312,1294.03515625,-857.337158203125,1278.3707275390625,-965.2443237304688,1455.1334228515625,-957.0258178710938,1441.965087890625,-1003.5062255859376,1327.306396484375,-1001.6555786132812,1378.17333984375,-1000.6596069335938,1317.2764892578125,-991.746826171875,1340.202880859375,-1034.2569580078123,1419.1636962890625,-1024.7637939453123,1254.7265625,-1027.5118408203123,1410.4251708984375,-1001.0958862304688,1377.65576171875,-971.0858764648438,1404.4337158203125,-967.69775390625,1409.485107421875,-963.5642700195312,1419.5560302734375,-985.3218994140624,1334.552734375,-992.3377075195312,1328.4190673828125,-1034.93505859375,1408.21142578125,-976.9359130859376,1407.1934814453125,-955.090087890625,1448.226318359375,-991.3864135742188,1331.17529296875,-996.2470092773438,1320.5150146484375,-1033.657958984375,1406.0252685546875,-992.805908203125,1336.421142578125,-989.8411254882812,1380.750244140625,-1015.5121459960938,1392.87744140625,-984.9178466796876,1388.6939697265625,-995.9454345703124,1362.7486572265625,-828.8143920898438,1315.08935546875,-904.4082641601562,1361.0426025390625,-984.114501953125,1371.9112548828125,-859.2091674804688,1316.861572265625,-1008.8148803710938,1280.75830078125,-996.0882568359376,1363.2694091796875,-1005.1950073242188,1293.4466552734375
1,-981.4527587890624,1381.77001953125,-973.93310546875,1397.711669921875,-993.681884765625,1370.3829345703125,-1006.9185180664062,1385.2176513671875,-968.824462890625,1410.353515625,-970.9227905273438,1404.998291015625,-1014.9227294921876,1393.56982421875,-1007.3428955078124,1294.4503173828125,-1007.6639404296876,1308.4915771484375,-1086.9298095703123,1483.7047119140625,-944.8785400390624,1422.0797119140625,-964.2069702148438,1428.8248291015625,-959.310546875,1438.418212890625,-962.5458984375,1443.003662109375,-908.2700805664062,1332.3905029296875,-1058.6964111328123,1489.712646484375,-944.541259765625,1413.9346923828125,-950.8421020507812,1460.3829345703125,-1008.2568969726562,1292.6329345703125,-1005.6925659179688,1313.733642578125,-1010.97607421875,1305.0859375,-966.8303833007812,1457.2779541015625,-941.0642700195312,1416.4500732421875,-955.7073974609376,1447.612548828125,-917.8030395507812,1339.362060546875,-1011.9691162109376,1302.5035400390625,-1022.844482421875,1238.63232421875,-941.2224731445312,1416.8740234375,-1005.028076171875,1292.4393310546875,-942.4849853515624,1418.131103515625,-1010.3637084960938,1306.334716796875,-954.9160766601562,1449.386474609375,-943.8192749023438,1413.385009765625,-1008.072998046875,1296.1119384765625,-860.0392456054688,1281.206298828125,-965.2733764648438,1455.247802734375,-957.3477172851562,1440.9666748046875,-1004.0233154296876,1325.245361328125,-1001.2152099609376,1377.8822021484375,-1000.4202880859376,1318.324951171875,-991.620361328125,1340.5262451171875,-1034.4173583984377,1419.4434814453125,-1024.3232421875,1255.5194091796875,-1027.5294189453123,1410.55224609375,-1000.9301147460938,1377.686279296875,-971.2196655273438,1403.224365234375,-967.8651123046876,1409.08935546875,-963.7409057617188,1419.258056640625,-985.0072631835938,1334.6649169921875,-992.5560913085938,1328.9239501953125,-1034.943603515625,1408.20849609375,-977.869384765625,1405.12646484375,-956.2837524414062,1446.7088623046875,-991.0032348632812,1331.7392578125,-995.4000854492188,1321.03662109375,-1033.6380615234377,1406.044921875,-992.3375854492188,1336.1107177734375,-990.7418212890624,1378.568603515625,-1014.5546264648438,1392.641357421875,-984.9217529296876,1388.6951904296875,-996.2357788085938,1361.8026123046875,-828.8175659179688,1315.0965576171875,-905.7377319335938,1362.9141845703125,-984.3168334960938,1371.2369384765625,-859.8070068359375,1316.6505126953125,-1008.4425048828124,1281.103515625,-996.5449829101562,1362.2642822265625,-1005.0476684570312,1294.02978515625
2,-981.4551391601562,1381.768310546875,-974.0025024414062,1397.764404296875,-994.2659912109376,1369.119384765625,-1007.1221923828124,1385.2874755859375,-968.7151489257812,1410.5848388671875,-970.9375610351562,1404.9654541015625,-1014.8776245117188,1393.434326171875,-1006.9525756835938,1295.2235107421875,-1008.1121215820312,1307.0101318359375,-1086.93115234375,1483.7030029296875,-945.101806640625,1422.4434814453125,-964.6359252929688,1427.935791015625,-959.7867431640624,1438.0072021484375,-963.5416259765624,1442.744140625,-912.0204467773438,1336.3341064453125,-1059.958984375,1490.970947265625,-944.89501953125,1414.41845703125,-951.290283203125,1459.90869140625,-1007.5310668945312,1294.884521484375,-1005.9016723632812,1312.389892578125,-1011.2901000976562,1303.92236328125,-966.86572265625,1457.1221923828125,-941.5079345703124,1416.8214111328125,-956.1338500976562,1446.9556884765625,-918.7244873046876,1341.083984375,-1012.2739868164062,1301.2838134765625,-1022.4716186523438,1241.517822265625,-941.67724609375,1416.648193359375,-1004.697021484375,1293.6903076171875,-942.671875,1417.783203125,-1010.861083984375,1305.1744384765625,-955.35009765625,1448.7064208984375,-943.8201293945312,1413.385498046875,-1007.6741943359376,1297.4190673828125,-861.9820556640625,1283.6663818359375,-965.4481201171876,1455.3636474609375,-957.9174194335938,1440.0955810546875,-1004.3255004882812,1323.7183837890625,-1001.208251953125,1377.882080078125,-1000.0757446289062,1319.0823974609375,-991.3318481445312,1340.9669189453125,-1034.2850341796877,1419.255126953125,-1025.0157470703123,1253.8026123046875,-1027.60693359375,1410.5419921875,-1000.9187622070312,1377.712890625,-971.6734008789062,1402.6695556640625,-968.0115966796876,1408.9202880859375,-963.5629272460938,1418.97509765625,-984.9349975585938,1334.671142578125,-992.7949829101562,1329.431884765625,-1035.3162841796877,1408.5943603515625,-978.7821655273438,1403.9903564453125,-956.9957275390624,1445.825439453125,-991.2752685546876,1331.808349609375,-995.37451171875,1321.473388671875,-1033.6015625,1406.061767578125,-992.2211303710938,1336.2789306640625,-991.4547729492188,1376.4090576171875,-1015.5277709960938,1393.294189453125,-986.870849609375,1385.5279541015625,-996.628173828125,1360.8824462890625,-828.8189697265625,1315.0999755859375,-906.5985717773438,1364.0517578125,-984.2715454101562,1370.8658447265625,-860.049560546875,1316.7086181640625,-1008.3787231445312,1281.1990966796875,-997.0046997070312,1361.2889404296875,-1004.9112548828124,1294.2060546875
3,-981.4656982421876,1381.7452392578125,-973.9815063476562,1397.7445068359375,-994.6776733398438,1368.2169189453125,-1007.0195922851562,1384.8802490234375,-968.6477661132812,1410.729248046875,-970.8993530273438,1405.041259765625,-1014.9873657226562,1393.6947021484375,-1006.6184692382812,1296.0623779296875,-1008.395263671875,1305.4090576171875,-1086.927734375,1483.7069091796875,-945.2098388671876,1422.7232666015625,-965.0446166992188,1427.2039794921875,-960.2117919921876,1437.1376953125,-964.0009155273438,1442.556396484375,-913.080810546875,1338.0404052734375,-1061.2152099609377,1492.08740234375,-944.7572021484376,1414.23046875,-951.3065795898438,1459.4962158203125,-1007.3451538085938,1295.7825927734375,-1006.117431640625,1311.189453125,-1011.4884033203124,1302.67333984375,-966.7407836914062,1456.9365234375,-941.8154296875,1416.8626708984375,-956.53759765625,1446.3365478515625,-919.8421020507812,1342.23974609375,-1012.6575927734376,1300.2325439453125,-1022.2443237304688,1243.3082275390625,-941.4204711914062,1416.6641845703125,-1004.3624267578124,1294.8873291015625,-942.5294189453124,1418.3541259765625,-1011.0953369140624,1304.0440673828125,-955.8453979492188,1447.9610595703125,-944.533447265625,1413.4849853515625,-1007.250244140625,1298.6827392578125,-863.57177734375,1284.6185302734375,-965.5162353515624,1455.3841552734375,-958.2973022460938,1439.3414306640625,-1004.50048828125,1322.43408203125,-1001.1294555664062,1377.9669189453125,-999.895751953125,1319.525634765625,-991.2402954101562,1341.18505859375,-1034.159423828125,1419.0677490234375,-1025.4339599609377,1252.4615478515625,-1027.661865234375,1410.547119140625,-1001.0072021484376,1377.672607421875,-971.974365234375,1402.22705078125,-968.1829833984376,1408.697509765625,-963.7110595703124,1418.71533203125,-984.894775390625,1334.6668701171875,-992.752197265625,1329.6922607421875,-1035.1876220703123,1408.337646484375,-979.2572631835938,1402.8663330078125,-957.7295532226562,1444.87744140625,-991.1873168945312,1331.7840576171875,-995.3301391601562,1321.7999267578125,-1033.7137451171877,1406.5623779296875,-992.1660766601562,1336.3876953125,-991.9135131835938,1375.3138427734375,-1014.9187622070312,1393.3756103515625,-987.5463256835938,1384.3375244140625,-996.9710083007812,1359.7874755859375,-828.8230590820312,1315.1016845703125,-907.3831787109376,1365.10302734375,-984.1873168945312,1370.544921875,-860.3622436523438,1316.6676025390625,-1008.1466674804688,1281.9083251953125,-997.4501953125,1360.254638671875,-1004.7186889648438,1294.518798828125
4,-981.4776611328124,1381.7738037109375,-973.9373168945312,1397.7188720703125,-995.0277709960938,1367.402099609375,-1007.20458984375,1385.1700439453125,-968.5951538085938,1410.8328857421875,-970.914794921875,1405.010986328125,-1015.022216796875,1393.8070068359375,-1006.3333129882812,1297.08203125,-1008.8341674804688,1303.9775390625,-1082.984130859375,1479.4320068359375,-945.3985595703124,1423.1231689453125,-965.3214111328124,1426.394775390625,-960.6593017578124,1436.508056640625,-964.5729370117188,1442.3565673828125,-914.2890625,1339.441650390625,-1062.410400390625,1493.2801513671875,-944.4188842773438,1413.90673828125,-951.2944946289062,1459.7442626953125,-1007.0894775390624,1296.6885986328125,-1006.5709838867188,1310.26318359375,-1011.7138061523438,1301.4813232421875,-966.6753540039062,1456.85205078125,-941.9637451171876,1417.2891845703125,-957.0531005859376,1445.723876953125,-921.289306640625,1343.6383056640625,-1012.885986328125,1299.0322265625,-1022.0147705078124,1245.0985107421875,-941.5502319335938,1416.6412353515625,-1004.0263671875,1296.0693359375,-942.5280151367188,1418.3336181640625,-1011.4576416015624,1302.912109375,-956.3762817382812,1447.0859375,-944.5956420898438,1413.9774169921875,-1006.8406982421876,1299.9176025390625,-864.8865966796875,1286.0972900390625,-965.6043090820312,1455.4290771484375,-958.5846557617188,1438.66357421875,-1004.7820434570312,1320.6776123046875,-1001.2532958984376,1377.9737548828125,-999.6785278320312,1320.0274658203125,-991.1503295898438,1341.3583984375,-1034.3487548828123,1419.4639892578125,-1025.8568115234377,1251.253662109375,-1027.635498046875,1410.5980224609375,-1000.970458984375,1377.7047119140625,-972.1879272460938,1402.0380859375,-968.4805297851562,1408.2874755859375,-963.6906127929688,1418.486572265625,-984.8920288085938,1334.600830078125,-992.873046875,1330.02978515625,-1035.2412109375,1408.366943359375,-979.8486938476562,1401.69921875,-958.078857421875,1443.8922119140625,-991.1268920898438,1331.785888671875,-995.2316284179688,1321.90234375,-1034.124267578125,1407.2218017578125,-992.2413940429688,1336.570068359375,-992.2733764648438,1374.38623046875,-1014.6500854492188,1393.4139404296875,-987.974609375,1383.42041015625,-997.5851440429688,1358.4281005859375,-828.432373046875,1315.35595703125,-908.142333984375,1366.158203125,-984.0262451171876,1370.251953125,-860.6809692382812,1316.54931640625,-1008.0826416015624,1282.2496337890625,-997.8619384765624,1359.2061767578125,-1004.5665283203124,1295.3974609375
5,-981.4733276367188,1381.7969970703125,-973.9170532226562,1397.7099609375,-995.4590454101562,1366.453125,-1007.1329345703124,1385.2022705078125,-968.5531616210938,1410.89306640625,-970.9082641601562,1404.978515625,-1014.8837890625,1393.5897216796875,-1006.0565185546876,1298.1226806640625,-1009.0651245117188,1302.3929443359375,-1082.9786376953123,1479.43798828125,-945.5358276367188,1423.4166259765625,-965.7429809570312,1425.4903564453125,-961.1046752929688,1435.8778076171875,-964.8944702148438,1442.309814453125,-915.7420654296876,1340.9954833984375,-1063.6583251953123,1494.4969482421875,-944.6002197265624,1413.9561767578125,-951.3162231445312,1459.6688232421875,-1006.8262329101562,1297.5362548828125,-1006.87890625,1309.141357421875,-1011.9928588867188,1300.2481689453125,-966.5409545898438,1456.7515869140625,-942.0717163085938,1417.4056396484375,-957.559326171875,1445.0618896484375,-922.686767578125,1345.01220703125,-1013.2135620117188,1297.9088134765625,-1021.788330078125,1246.8900146484375,-941.5457153320312,1416.724365234375,-1003.6929931640624,1297.24658203125,-942.7081298828124,1418.552734375,-1011.786865234375,1301.7979736328125,-957.03662109375,1446.3245849609375,-944.6213989257812,1414.2001953125,-1006.2443237304688,1301.3460693359375,-866.033447265625,1287.5882568359375,-965.5997314453124,1455.5228271484375,-958.9866943359376,1437.8856201171875,-1005.1583251953124,1319.0926513671875,-1001.2186279296876,1377.9163818359375,-999.3167114257812,1320.82568359375,-991.0107421875,1341.614013671875,-1034.1893310546877,1419.2879638671875,-1026.1121826171877,1249.9927978515625,-1027.616943359375,1410.6051025390625,-1000.98388671875,1377.712646484375,-972.4012451171876,1401.8507080078125,-968.7531127929688,1407.909912109375,-964.2695922851562,1418.0792236328125,-984.8413696289062,1334.5025634765625,-992.7429809570312,1330.5968017578125,-1035.234130859375,1408.3758544921875,-980.2846069335938,1400.568359375,-958.5484619140624,1442.9681396484375,-991.173095703125,1331.831298828125,-995.2073974609376,1322.2572021484375,-1034.4166259765623,1407.633544921875,-992.3260498046876,1336.748291015625,-992.7471923828124,1373.4775390625,-1014.626708984375,1393.4239501953125,-988.2332153320312,1382.6357421875,-998.052978515625,1357.2586669921875,-828.30029296875,1315.421875,-908.9002685546876,1367.198486328125,-984.0037841796876,1370.0809326171875,-860.6240844726562,1316.5247802734375,-1007.8267822265624,1283.3800048828125,-998.2672119140624,1358.1708984375,-1004.2255249023438,1296.0892333984375
6,-981.4647827148438,1381.8131103515625,-973.9188842773438,1397.7017822265625,-995.8654174804688,1365.5390625,-1007.4700317382812,1385.3948974609375,-968.5286254882812,1410.93505859375,-970.9215087890624,1404.9703369140625,-1014.7680053710938,1393.4884033203125,-1005.5439453125,1299.6112060546875,-1009.57763671875,1300.8768310546875,-1082.9801025390623,1479.4366455078125,-945.6058349609376,1423.913330078125,-966.1791381835938,1424.5577392578125,-961.5506591796876,1435.2476806640625,-965.4242553710938,1442.2593994140625,-917.3139038085938,1342.7186279296875,-1064.86865234375,1495.69189453125,-944.5648803710938,1414.0562744140625,-951.6487426757812,1459.684814453125,-1006.5529174804688,1298.38037109375,-1007.1521606445312,1308.026611328125,-1012.353515625,1299.07177734375,-966.538330078125,1456.7025146484375,-942.1861572265624,1417.6387939453125,-958.05224609375,1444.34423828125,-923.8336181640624,1346.1092529296875,-1013.563720703125,1296.8214111328125,-1021.5634155273438,1248.6824951171875,-941.5552368164062,1416.6910400390625,-1003.3609008789062,1298.4154052734375,-942.8711547851562,1418.6910400390625,-1012.0952758789062,1300.7149658203125,-957.427490234375,1445.5709228515625,-944.6612548828124,1414.229736328125,-1005.8573608398438,1302.3411865234375,-867.2086181640625,1289.01904296875,-965.6815795898438,1455.462158203125,-959.4642333984376,1437.0269775390625,-1005.46533203125,1317.933349609375,-1000.9833984375,1377.77197265625,-999.10205078125,1321.33349609375,-990.9115600585938,1341.84033203125,-1034.339111328125,1419.52783203125,-1026.3834228515623,1248.7049560546875,-1027.5592041015623,1410.560546875,-1000.9744873046876,1377.7047119140625,-972.4832763671876,1401.1668701171875,-968.799072265625,1408.022216796875,-964.431640625,1417.9892578125,-984.8320922851562,1334.4376220703125,-992.6329956054688,1331.077880859375,-1035.5350341796877,1408.660400390625,-980.84619140625,1399.4364013671875,-959.0527954101562,1442.1317138671875,-991.1451416015624,1331.81787109375,-995.2645874023438,1322.5096435546875,-1034.54931640625,1407.7825927734375,-992.2871704101562,1336.9290771484375,-993.156982421875,1372.517333984375,-1014.55859375,1393.4779052734375,-988.2764282226562,1381.9715576171875,-998.498046875,1356.042236328125,-828.2330932617188,1315.46728515625,-909.6446533203124,1368.22021484375,-984.002197265625,1369.80810546875,-860.7320556640625,1316.5233154296875,-1007.6890869140624,1284.3541259765625,-998.5987548828124,1357.3426513671875,-1004.2156372070312,1296.6280517578125
7,-981.4640502929688,1381.8182373046875,-973.949462890625,1397.7161865234375,-996.2404174804688,1364.6478271484375,-1007.2786254882812,1385.2845458984375,-968.6322021484376,1410.7232666015625,-970.9313354492188,1404.961669921875,-1014.8262329101562,1393.5511474609375,-1005.1188354492188,1300.923095703125,-1009.9273681640624,1299.3291015625,-1082.9793701171877,1479.4375,-945.6552734375,1424.3460693359375,-966.6592407226562,1423.63330078125,-961.996337890625,1434.6171875,-965.924072265625,1442.2147216796875,-918.711181640625,1344.2703857421875,-1066.0894775390623,1496.8890380859375,-944.3448486328124,1413.9447021484375,-951.980224609375,1459.7005615234375,-1006.34716796875,1299.2320556640625,-1007.4722900390624,1306.89599609375,-1012.7218627929688,1297.8922119140625,-966.5193481445312,1456.6761474609375,-942.280517578125,1417.7664794921875,-958.5220336914062,1443.6334228515625,-925.0927124023438,1347.420166015625,-1013.8271484375,1295.6929931640625,-1019.7439575195312,1251.0343017578125,-941.6143798828124,1416.674560546875,-1003.0346069335938,1299.5653076171875,-942.9502563476562,1418.8216552734375,-1012.4063110351562,1299.5904541015625,-957.8541259765624,1444.8460693359375,-944.7055053710938,1414.194091796875,-1005.454345703125,1303.364990234375,-868.42138671875,1290.4102783203125,-965.6504516601562,1455.4180908203125,-959.8364868164062,1436.302001953125,-1005.7362670898438,1316.8714599609375,-1000.766357421875,1377.5313720703125,-998.889892578125,1322.0048828125,-990.80322265625,1342.0623779296875,-1034.33349609375,1419.4200439453125,-1026.7347412109377,1247.46484375,-1027.5234375,1410.54296875,-1000.9352416992188,1377.6602783203125,-972.7498779296876,1400.361328125,-968.8466186523438,1408.009765625,-964.6204223632812,1417.62353515625,-984.8414916992188,1334.3624267578125,-992.6722412109376,1331.203369140625,-1034.8609619140623,1407.7725830078125,-981.37451171875,1398.05712890625,-959.6250610351562,1441.2353515625,-991.1280517578124,1331.8682861328125,-995.2210083007812,1322.7271728515625,-1034.7296142578123,1407.828125,-992.3042602539062,1336.9610595703125,-993.5520629882812,1371.572021484375,-1014.6939086914062,1393.485595703125,-988.8226318359376,1381.0556640625,-998.8529663085938,1355.010498046875,-828.1895141601562,1315.462890625,-910.380615234375,1369.22802734375,-983.9100952148438,1369.4383544921875,-860.8765258789062,1316.4884033203125,-1007.5610961914062,1284.9346923828125,-999.0233764648438,1356.2530517578125,-1004.0883178710938,1297.183349609375
8,-981.4596557617188,1381.798095703125,-973.9744873046876,1397.7178955078125,-996.6590576171876,1363.745849609375,-1007.0983276367188,1385.182861328125,-968.5899047851562,1410.8310546875,-970.9342041015624,1404.965576171875,-1014.9264526367188,1393.6666259765625,-1004.74072265625,1302.1021728515625,-1010.3434448242188,1297.8302001953125,-1082.977783203125,1479.4393310546875,-945.7347412109376,1424.8001708984375,-967.0864868164062,1422.66552734375,-962.441162109375,1433.9864501953125,-966.2631225585938,1442.081298828125,-920.0814819335938,1345.802734375,-1067.388916015625,1498.07421875,-944.5715942382812,1413.99853515625,-952.0482177734376,1459.2904052734375,-1006.074462890625,1300.07177734375,-1007.8294067382812,1305.7587890625,-1013.0928955078124,1296.754638671875,-966.5133056640624,1456.6331787109375,-942.3310546875,1417.81201171875,-959.0045776367188,1442.8902587890625,-926.3612060546876,1348.7547607421875,-1014.126708984375,1294.5328369140625,-1019.193115234375,1252.887939453125,-941.6325073242188,1416.6741943359375,-1002.7116088867188,1300.7099609375,-943.043701171875,1418.900146484375,-1012.7102661132812,1298.466552734375,-958.3129272460938,1444.0780029296875,-944.7645263671876,1414.2191162109375,-1005.0371704101562,1304.6063232421875,-869.644775390625,1291.787109375,-965.635009765625,1455.48388671875,-960.2277221679688,1435.5828857421875,-1006.073974609375,1315.7314453125,-1000.3118286132812,1377.066650390625,-998.7315673828124,1322.478515625,-990.678466796875,1342.2646484375,-1034.53076171875,1419.614501953125,-1027.1324462890623,1246.21484375,-1027.6761474609377,1410.662353515625,-1000.8949584960938,1377.6285400390625,-972.8151245117188,1399.8497314453125,-969.014892578125,1407.8056640625,-964.735595703125,1417.49853515625,-984.8571166992188,1334.3262939453125,-992.8206176757812,1331.3568115234375,-1035.2310791015623,1408.2393798828125,-981.90576171875,1396.8179931640625,-960.1663818359376,1440.3096923828125,-991.1193237304688,1331.930419921875,-995.2042236328124,1322.9803466796875,-1034.821533203125,1407.8936767578125,-992.330078125,1336.97802734375,-993.9052734375,1370.7001953125,-1014.634521484375,1393.46728515625,-989.2672729492188,1380.09423828125,-999.2632446289062,1353.86474609375,-828.1755981445312,1315.4327392578125,-911.0545043945312,1370.22509765625,-983.8269653320312,1368.989501953125,-861.349853515625,1316.4378662109375,-1007.4349365234376,1285.633544921875,-999.4243774414062,1355.2327880859375,-1003.76611328125,1297.6741943359375
9,-981.4526977539062,1381.7855224609375,-973.96435546875,1397.697265625,-997.0480346679688,1362.915771484375,-1007.2590942382812,1385.3270263671875,-968.5853881835938,1410.89990234375,-970.9401245117188,1404.9609375,-1014.80029296875,1393.529296875,-1004.370361328125,1303.1951904296875,-1010.7999877929688,1296.3525390625,-1079.2779541015623,1475.6185302734375,-945.8192138671876,1425.2596435546875,-967.5341796875,1421.7694091796875,-962.9459228515624,1431.712890625,-966.6885986328124,1441.99609375,-921.4036254882812,1347.253662109375,-1068.6451416015623,1499.2862548828125,-944.5606079101562,1413.8939208984375,-952.0684814453124,1459.22900390625,-1005.8422241210938,1300.9029541015625,-1008.1503295898438,1304.58251953125,-1013.3661499023438,1295.5584716796875,-966.4591064453124,1456.54052734375,-942.5060424804688,1418.00732421875,-959.5169677734376,1442.1202392578125,-927.6294555664062,1350.0902099609375,-1014.4275512695312,1293.3731689453125,-1018.7008056640624,1254.7705078125,-941.6200561523438,1416.6839599609375,-1002.3213500976562,1301.80419921875,-942.9697265625,1418.7889404296875,-1013.0221557617188,1297.3438720703125,-958.8226318359376,1443.287353515625,-944.7733764648438,1414.2044677734375,-1004.6578979492188,1305.62548828125,-870.8806762695312,1293.1514892578125,-965.784912109375,1455.486328125,-960.6138916015624,1434.837158203125,-1006.4688720703124,1314.3193359375,-1000.2586059570312,1377.0377197265625,-998.564697265625,1323.1365966796875,-990.6273803710938,1342.4681396484375,-1034.5245361328123,1419.543212890625,-1027.4989013671877,1244.93408203125,-1027.698486328125,1410.634033203125,-1000.9816284179688,1377.7008056640625,-973.0128173828124,1399.478271484375,-969.1690673828124,1407.53466796875,-964.9818115234376,1417.0753173828125,-984.8107299804688,1334.295166015625,-992.97119140625,1331.5098876953125,-1035.2484130859377,1408.284423828125,-982.480224609375,1395.738037109375,-960.7075805664062,1439.4111328125,-991.1027221679688,1331.9722900390625,-995.126220703125,1323.2808837890625,-1034.87744140625,1407.8768310546875,-992.3322143554688,1336.992919921875,-994.0993041992188,1369.77001953125,-1014.5899658203124,1393.440673828125,-989.5081787109376,1379.558349609375,-999.6767578125,1352.7105712890625,-828.16650390625,1315.4610595703125,-911.7919311523438,1371.247314453125,-983.6787109375,1368.7232666015625,-861.453369140625,1316.4158935546875,-1007.1978759765624,1286.6474609375,-999.8279418945312,1354.2056884765625,-1003.6422729492188,1298.158935546875
